kabu_bps|kabu_dagri|provinsi|kabkot|id_district|id_province
1101|1109|ACEH|SIMEULUE|279|1
1102|1110|ACEH|ACEH SINGKIL|263|1
1103|1101|ACEH|ACEH SELATAN|262|1
1104|1102|ACEH|ACEH TENGGARA|266|1
1105|1103|ACEH|ACEH TIMUR|267|1
1106|1104|ACEH|ACEH TENGAH|265|1
1107|1105|ACEH|ACEH BARAT|258|1
1108|1106|ACEH|ACEH BESAR|260|1
1109|1107|ACEH|PIDIE|276|1
1110|1111|ACEH|BIREUEN|271|1
1111|1108|ACEH|ACEH UTARA|268|1
1112|1112|ACEH|ACEH BARAT DAYA|259|1
1113|1113|ACEH|GAYO LUES|272|1
1114|1116|ACEH|ACEH TAMIANG|264|1
1115|1115|ACEH|NAGAN RAYA|275|1
1116|1114|ACEH|ACEH JAYA|261|1
1117|1117|ACEH|BENER MERIAH|270|1
1118|1118|ACEH|PIDIE JAYA|277|1
1171|1171|ACEH|KOTA BANDA ACEH|269|1
1172|1172|ACEH|KOTA SABANG|278|1
1173|1174|ACEH|KOTA LANGSA|273|1
1174|1173|ACEH|KOTA LHOKSEUMAWE|274|1
1175|1175|ACEH|KOTA SUBULUSSALAM|280|1
1201|1204|SUMATERA UTARA|NIAS|478|34
1202|1213|SUMATERA UTARA|MANDAILING NATAL|476|34
1203|1203|SUMATERA UTARA|TAPANULI SELATAN|492|34
1204|1201|SUMATERA UTARA|TAPANULI TENGAH|493|34
1205|1202|SUMATERA UTARA|TAPANULI UTARA|494|34
1206|1212|SUMATERA UTARA|TOBA SAMOSIR|496|34
1207|1210|SUMATERA UTARA|LABUHANBATU|472|34
1208|1209|SUMATERA UTARA|ASAHAN|464|34
1210|1211|SUMATERA UTARA|DAIRI|467|34
1211|1206|SUMATERA UTARA|KARO|471|34
1212|1207|SUMATERA UTARA|DELI SERDANG|468|34
1213|1205|SUMATERA UTARA|LANGKAT|475|34
1215|1216|SUMATERA UTARA|HUMBANG HASUNDUTAN|470|34
1216|1215|SUMATERA UTARA|PAKPAK BHARAT|485|34
1217|1217|SUMATERA UTARA|SAMOSIR|487|34
1218|1218|SUMATERA UTARA|SERDANG BEDAGAI|488|34
1219|1219|SUMATERA UTARA|BATU BARA|465|34
1220|1220|SUMATERA UTARA|PADANG LAWAS UTARA|483|34
1221|1221|SUMATERA UTARA|PADANG LAWAS|482|34
1222|1222|SUMATERA UTARA|LABUHANBATU SELATAN|473|34
1223|1223|SUMATERA UTARA|LABUHANBATU UTARA|474|34
1224|1224|SUMATERA UTARA|NIAS UTARA|481|34
1272|1274|SUMATERA UTARA|KOTA TANJUNG BALAI|491|34
1273|1272|SUMATERA UTARA|KOTA PEMATANG SIANTAR|486|34
1274|1276|SUMATERA UTARA|KOTA TEBING TINGGI|495|34
1275|1271|SUMATERA UTARA|KOTA MEDAN|477|34
1276|1275|SUMATERA UTARA|KOTA BINJAI|466|34
1278|1278|SUMATERA UTARA|KOTA GUNUNGSITOLI|469|34
1301|1309|SUMATERA BARAT|KEPULAUAN MENTAWAI|433|32
1302|1301|SUMATERA BARAT|PESISIR SELATAN|442|32
1303|1302|SUMATERA BARAT|SOLOK|445|32
1304|1303|SUMATERA BARAT|SIJUNJUNG|444|32
1305|1304|SUMATERA BARAT|TANAH DATAR|448|32
1306|1305|SUMATERA BARAT|PADANG PARIAMAN|437|32
1307|1306|SUMATERA BARAT|AGAM|430|32
1308|1307|SUMATERA BARAT|LIMAPULUH KOTA|434|32
1309|1308|SUMATERA BARAT|PASAMAN|439|32
1310|1311|SUMATERA BARAT|SOLOK SELATAN|447|32
1311|1310|SUMATERA BARAT|DHARMASRAYA|432|32
1312|1312|SUMATERA BARAT|PASAMAN BARAT|440|32
1371|1371|SUMATERA BARAT|KOTA PADANG|435|32
1372|1372|SUMATERA BARAT|KOTA SOLOK|446|32
1373|1373|SUMATERA BARAT|KOTA SAWAHLUNTO|443|32
1374|1374|SUMATERA BARAT|KOTA PADANG PANJANG|436|32
1375|1375|SUMATERA BARAT|KOTA BUKITTINGGI|431|32
1376|1376|SUMATERA BARAT|KOTA PAYAKUMBUH|441|32
1377|1377|SUMATERA BARAT|KOTA PARIAMAN|438|32
1401|1409|RIAU|KUANTAN SINGINGI|357|26
1402|1402|RIAU|INDRAGIRI HULU|355|26
1403|1404|RIAU|INDRAGIRI HILIR|354|26
1404|1405|RIAU|PELALAWAN|359|26
1405|1408|RIAU|SIAK|362|26
1406|1401|RIAU|KAMPAR|356|26
1407|1406|RIAU|ROKAN HULU|361|26
1408|1403|RIAU|BENGKALIS|352|26
1409|1407|RIAU|ROKAN HILIR|360|26
1410|1410|RIAU|KEPULAUAN MERANTI|497|26
1471|1471|RIAU|KOTA PEKANBARU|358|26
1473|1472|RIAU|KOTA DUMAI|353|26
1501|1501|JAMBI|KERINCI|55|8
1502|1502|JAMBI|MERANGIN|56|8
1503|1503|JAMBI|SAROLANGUN|58|8
1504|1504|JAMBI|BATANG HARI|52|8
1505|1505|JAMBI|MUARO JAMBI|57|8
1506|1507|JAMBI|TANJUNG JABUNG TIMUR|61|8
1507|1506|JAMBI|TANJUNG JABUNG BARAT|60|8
1508|1509|JAMBI|TEBO|62|8
1509|1508|JAMBI|BUNGO|53|8
1571|1571|JAMBI|KOTA JAMBI|54|8
1572|1572|JAMBI|KOTA SUNGAIPENUH|59|8
1601|1601|SUMATERA SELATAN|OGAN KOMERING ULU|458|33
1602|1602|SUMATERA SELATAN|OGAN KOMERING ILIR|457|33
1603|1603|SUMATERA SELATAN|MUARA ENIM|453|33
1604|1604|SUMATERA SELATAN|LAHAT|451|33
1605|1605|SUMATERA SELATAN|MUSI RAWAS|455|33
