date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
03072021|03|07|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|423|18|198|207|195000|2928|67|12|322|
02072021|02|07|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|420|17|192|211|195000|2928|67|12|322|
01072021|01|07|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|419|17|188|214|195000|2928|67|12|322|
30062021|30|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|400|17|188|195|195000|2928|67|12|322|
29062021|29|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|398|17|188|193|195000|2928|67|12|322|
28062021|28|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|394|17|188|189|195000|2928|67|12|322|
27062021|27|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|384|15|184|185|195000|2928|67|12|322|
26062021|26|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|384|15|184|185|195000|2928|67|12|322|
25062021|25|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|383|15|184|184|195000|2928|67|12|322|
24062021|24|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|381|15|184|182|195000|2928|67|12|322|
23062021|23|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|380|15|184|181|195000|2928|67|12|322|
22062021|22|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|376|15|183|178|195000|2928|67|12|322|
21062021|21|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|368|15|183|170|195000|2928|67|12|322|
20062021|20|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|365|14|177|174|195000|2928|67|12|322|
19062021|19|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|348|14|177|157|195000|2928|67|12|322|
18062021|18|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|347|14|177|156|195000|2928|67|12|322|
17062021|17|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|346|14|177|155|195000|2928|67|12|322|
16062021|16|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|332|14|177|141|195000|2928|67|12|322|
15062021|15|06|2021|258|1|Aceh (NAD)|Kab. Aceh Barat|Aceh Barat|329|13|177|139|195000|2928|67|12|322|
