date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
24072021|24|07|2021|1|2|Bali|Kab. Badung|Badung|12577|311|10649|1617|484000|418.6|1155|6|62|
23072021|23|07|2021|1|2|Bali|Kab. Badung|Badung|12393|309|10466|1618|484000|418.6|1155|6|62|
22072021|22|07|2021|1|2|Bali|Kab. Badung|Badung|12120|307|10326|1487|484000|418.6|1155|6|62|
21072021|21|07|2021|1|2|Bali|Kab. Badung|Badung|11942|303|10222|1417|484000|418.6|1155|6|62|
20072021|20|07|2021|1|2|Bali|Kab. Badung|Badung|11708|299|10147|1262|484000|418.6|1155|6|62|
19072021|19|07|2021|1|2|Bali|Kab. Badung|Badung|11578|294|10061|1223|484000|418.6|1155|6|62|
18072021|18|07|2021|1|2|Bali|Kab. Badung|Badung|11439|291|9933|1215|484000|418.6|1155|6|62|
17072021|17|07|2021|1|2|Bali|Kab. Badung|Badung|11244|285|9811|1148|484000|418.6|1155|6|62|
16072021|16|07|2021|1|2|Bali|Kab. Badung|Badung|11059|284|9707|1068|484000|418.6|1155|6|62|
15072021|15|07|2021|1|2|Bali|Kab. Badung|Badung|10918|279|9629|1010|484000|418.6|1155|6|62|
14072021|14|07|2021|1|2|Bali|Kab. Badung|Badung|10774|278|9520|976|484000|418.6|1155|6|62|
13072021|13|07|2021|1|2|Bali|Kab. Badung|Badung|10623|276|9472|875|484000|418.6|1155|6|62|
12072021|12|07|2021|1|2|Bali|Kab. Badung|Badung|10507|273|9421|813|484000|418.6|1155|6|62|
11072021|11|07|2021|1|2|Bali|Kab. Badung|Badung|10364|270|9357|737|484000|418.6|1155|6|62|
10072021|10|07|2021|1|2|Bali|Kab. Badung|Badung|10267|270|9304|693|484000|418.6|1155|6|62|
09072021|09|07|2021|1|2|Bali|Kab. Badung|Badung|10147|270|9235|642|484000|418.6|1155|6|62|
08072021|08|07|2021|1|2|Bali|Kab. Badung|Badung|10041|269|9178|594|484000|418.6|1155|6|62|
07072021|07|07|2021|1|2|Bali|Kab. Badung|Badung|9944|269|9086|589|484000|418.6|1155|6|62|
06072021|06|07|2021|1|2|Bali|Kab. Badung|Badung|9831|267|9060|504|484000|418.6|1155|6|62|
05072021|05|07|2021|1|2|Bali|Kab. Badung|Badung|9740|266|9021|453|484000|418.6|1155|6|62|
04072021|04|07|2021|1|2|Bali|Kab. Badung|Badung|9676|265|8998|413|484000|418.6|1155|6|62|
03072021|03|07|2021|1|2|Bali|Kab. Badung|Badung|9605|265|8961|379|484000|418.6|1155|6|62|
02072021|02|07|2021|1|2|Bali|Kab. Badung|Badung|9565|265|8903|397|484000|418.6|1155|6|62|
01072021|01|07|2021|1|2|Bali|Kab. Badung|Badung|9496|263|8855|378|484000|418.6|1155|6|62|
30062021|30|06|2021|1|2|Bali|Kab. Badung|Badung|9430|261|8823|346|484000|418.6|1155|6|62|
29062021|29|06|2021|1|2|Bali|Kab. Badung|Badung|9405|261|8813|331|484000|418.6|1155|6|62|
28062021|28|06|2021|1|2|Bali|Kab. Badung|Badung|9363|261|8782|320|484000|418.6|1155|6|62|
27062021|27|06|2021|1|2|Bali|Kab. Badung|Badung|9326|261|8754|311|484000|418.6|1155|6|62|
26062021|26|06|2021|1|2|Bali|Kab. Badung|Badung|9294|260|8729|305|484000|418.6|1155|6|62|
25062021|25|06|2021|1|2|Bali|Kab. Badung|Badung|9244|260|8714|270|484000|418.6|1155|6|62|
24062021|24|06|2021|1|2|Bali|Kab. Badung|Badung|9178|260|8699|219|484000|418.6|1155|6|62|
23062021|23|06|2021|1|2|Bali|Kab. Badung|Badung|9131|260|8682|189|484000|418.6|1155|6|62|
22062021|22|06|2021|1|2|Bali|Kab. Badung|Badung|9098|259|8670|169|484000|418.6|1155|6|62|
21062021|21|06|2021|1|2|Bali|Kab. Badung|Badung|9071|258|8659|154|484000|418.6|1155|6|62|
20062021|20|06|2021|1|2|Bali|Kab. Badung|Badung|9046|258|8644|144|484000|418.6|1155|6|62|
19062021|19|06|2021|1|2|Bali|Kab. Badung|Badung|9021|257|8639|125|484000|418.6|1155|6|62|
18062021|18|06|2021|1|2|Bali|Kab. Badung|Badung|8999|257|8632|110|484000|418.6|1155|6|62|
17062021|17|06|2021|1|2|Bali|Kab. Badung|Badung|8985|256|8625|104|484000|418.6|1155|6|62|
16062021|16|06|2021|1|2|Bali|Kab. Badung|Badung|8971|256|8616|99|484000|418.6|1155|6|62|
15062021|15|06|2021|1|2|Bali|Kab. Badung|Badung|8957|256|8612|89|484000|418.6|1155|6|62|
14062021|14|06|2021|1|2|Bali|Kab. Badung|Badung|8943|256|8603|84|484000|418.6|1155|6|62|
13062021|13|06|2021|1|2|Bali|Kab. Badung|Badung|8928|256|8594|78|484000|418.6|1155|6|62|
12062021|12|06|2021|1|2|Bali|Kab. Badung|Badung|8924|256|8583|85|484000|418.6|1155|6|62|
11062021|11|06|2021|1|2|Bali|Kab. Badung|Badung|8919|255|8579|85|484000|418.6|1155|6|62|
10062021|10|06|2021|1|2|Bali|Kab. Badung|Badung|8912|254|8569|89|484000|418.6|1155|6|62|
09062021|09|06|2021|1|2|Bali|Kab. Badung|Badung|8892|253|8564|75|484000|418.6|1155|6|62|
08062021|08|06|2021|1|2|Bali|Kab. Badung|Badung|8891|253|8562|76|484000|418.6|1155|6|62|
07062021|07|06|2021|1|2|Bali|Kab. Badung|Badung|8882|253|8556|73|484000|418.6|1155|6|62|
06062021|06|06|2021|1|2|Bali|Kab. Badung|Badung|8867|253|8550|64|484000|418.6|1155|6|62|
05062021|05|06|2021|1|2|Bali|Kab. Badung|Badung|8865|253|8548|64|484000|418.6|1155|6|62|
04062021|04|06|2021|1|2|Bali|Kab. Badung|Badung|8858|253|8540|65|484000|418.6|1155|6|62|
03062021|03|06|2021|1|2|Bali|Kab. Badung|Badung|8844|252|8532|60|484000|418.6|1155|6|62|
02062021|02|06|2021|1|2|Bali|Kab. Badung|Badung|8841|252|8520|69|484000|418.6|1155|6|62|
01062021|01|06|2021|1|2|Bali|Kab. Badung|Badung|8830|252|8507|71|484000|418.6|1155|6|62|
31052021|31|05|2021|1|2|Bali|Kab. Badung|Badung|8824|252|8498|74|484000|418.6|1155|6|62|
30052021|30|05|2021|1|2|Bali|Kab. Badung|Badung|8815|251|8486|78|484000|418.6|1155|6|62|
29052021|29|05|2021|1|2|Bali|Kab. Badung|Badung|8810|250|8471|89|484000|418.6|1155|6|62|
28052021|28|05|2021|1|2|Bali|Kab. Badung|Badung|8807|250|8458|99|484000|418.6|1155|6|62|
27052021|27|05|2021|1|2|Bali|Kab. Badung|Badung|8796|248|8436|112|484000|418.6|1155|6|62|
26052021|26|05|2021|1|2|Bali|Kab. Badung|Badung|8793|248|8416|129|484000|418.6|1155|6|62|
25052021|25|05|2021|1|2|Bali|Kab. Badung|Badung|8778|248|8400|130|484000|418.6|1155|6|62|
24052021|24|05|2021|1|2|Bali|Kab. Badung|Badung|8769|247|8379|143|484000|418.6|1155|6|62|
23052021|23|05|2021|1|2|Bali|Kab. Badung|Badung|8755|247|8364|144|484000|418.6|1155|6|62|
22052021|22|05|2021|1|2|Bali|Kab. Badung|Badung|8751|246|8349|156|484000|418.6|1155|6|62|
21052021|21|05|2021|1|2|Bali|Kab. Badung|Badung|8738|246|8339|153|484000|418.6|1155|6|62|
20052021|20|05|2021|1|2|Bali|Kab. Badung|Badung|8719|246|8327|146|484000|418.6|1155|6|62|
19052021|19|05|2021|1|2|Bali|Kab. Badung|Badung|8714|246|8322|146|484000|418.6|1155|6|62|
18052021|18|05|2021|1|2|Bali|Kab. Badung|Badung|8684|244|8293|147|484000|418.6|1155|6|62|
17052021|17|05|2021|1|2|Bali|Kab. Badung|Badung|8663|244|8273|146|484000|418.6|1155|6|62|
16052021|16|05|2021|1|2|Bali|Kab. Badung|Badung|8654|244|8258|152|484000|418.6|1155|6|62|
15052021|15|05|2021|1|2|Bali|Kab. Badung|Badung|8648|244|8245|159|484000|418.6|1155|6|62|
14052021|14|05|2021|1|2|Bali|Kab. Badung|Badung|8639|243|8233|163|484000|418.6|1155|6|62|
13052021|13|05|2021|1|2|Bali|Kab. Badung|Badung|8634|243|8219|172|484000|418.6|1155|6|62|
12052021|12|05|2021|1|2|Bali|Kab. Badung|Badung|8624|242|8205|177|484000|418.6|1155|6|62|
11052021|11|05|2021|1|2|Bali|Kab. Badung|Badung|8610|242|8194|174|484000|418.6|1155|6|62|
10052021|10|05|2021|1|2|Bali|Kab. Badung|Badung|8598|240|8187|171|484000|418.6|1155|6|62|
09052021|09|05|2021|1|2|Bali|Kab. Badung|Badung|8582|239|8168|175|484000|418.6|1155|6|62|
08052021|08|05|2021|1|2|Bali|Kab. Badung|Badung|8570|238|8154|178|484000|418.6|1155|6|62|
07052021|07|05|2021|1|2|Bali|Kab. Badung|Badung|8561|237|8146|178|484000|418.6|1155|6|62|
06052021|06|05|2021|1|2|Bali|Kab. Badung|Badung|8540|236|8103|201|484000|418.6|1155|6|62|
05052021|05|05|2021|1|2|Bali|Kab. Badung|Badung|8514|235|8086|193|484000|418.6|1155|6|62|
04052021|04|05|2021|1|2|Bali|Kab. Badung|Badung|8499|234|8066|199|484000|418.6|1155|6|62|
03052021|03|05|2021|1|2|Bali|Kab. Badung|Badung|8478|234|8044|200|484000|418.6|1155|6|62|
02052021|02|05|2021|1|2|Bali|Kab. Badung|Badung|8463|232|8031|200|484000|418.6|1155|6|62|
01052021|01|05|2021|1|2|Bali|Kab. Badung|Badung|8446|230|8015|201|484000|418.6|1155|6|62|
30042021|30|04|2021|1|2|Bali|Kab. Badung|Badung|8438|229|7989|220|484000|418.6|1155|6|62|
29042021|29|04|2021|1|2|Bali|Kab. Badung|Badung|8421|229|7965|227|484000|418.6|1155|6|62|
28042021|28|04|2021|1|2|Bali|Kab. Badung|Badung|8401|228|7950|223|484000|418.6|1155|6|62|
