date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
24092021|24|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
23092021|23|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
22092021|22|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
21092021|21|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
20092021|20|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
19092021|19|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
18092021|18|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
17092021|17|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
16092021|16|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
15092021|15|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
14092021|14|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
13092021|13|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
12092021|12|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
11092021|11|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
10092021|10|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
09092021|09|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
08092021|08|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
07092021|07|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
06092021|06|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
05092021|05|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
04092021|04|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
03092021|03|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
02092021|02|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
01092021|01|09|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
31082021|31|08|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
30082021|30|08|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
29082021|29|08|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
28082021|28|08|2021|17|3|Banten|Kota Cilegon|Kota Cilegon|11825|380|11224|221|418000|175.5|2379|8|43|5
