date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
26092021|26|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8991|157|8825|9|376000|151.7|2481|9|67|1
25092021|25|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8990|157|8820|13|376000|151.7|2481|9|67|1
24092021|24|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8985|157|8820|8|376000|151.7|2481|9|67|1
23092021|23|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8982|157|8816|9|376000|151.7|2481|9|67|1
22092021|22|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8980|157|8816|7|376000|151.7|2481|9|67|1
21092021|21|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8980|157|8811|12|376000|151.7|2481|9|67|1
20092021|20|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8979|157|8811|11|376000|151.7|2481|9|67|1
19092021|19|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8978|157|8803|18|376000|151.7|2481|9|67|1
18092021|18|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8976|157|8800|19|376000|151.7|2481|9|67|1
17092021|17|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8968|157|8797|14|376000|151.7|2481|9|67|1
16092021|16|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8966|157|8793|16|376000|151.7|2481|9|67|1
15092021|15|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8965|157|8793|15|376000|151.7|2481|9|67|1
14092021|14|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8964|157|8773|34|376000|151.7|2481|9|67|1
13092021|13|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8962|157|8730|75|376000|151.7|2481|9|67|1
12092021|12|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8962|157|8640|165|376000|151.7|2481|9|67|1
11092021|11|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8960|157|8635|168|376000|151.7|2481|9|67|1
10092021|10|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8941|157|8602|182|376000|151.7|2481|9|67|1
09092021|09|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8937|156|8592|189|376000|151.7|2481|9|67|1
08092021|08|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8935|156|8568|211|376000|151.7|2481|9|67|1
07092021|07|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8921|156|8519|246|376000|151.7|2481|9|67|1
06092021|06|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8886|156|8519|211|376000|151.7|2481|9|67|1
05092021|05|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8879|156|8459|264|376000|151.7|2481|9|67|1
04092021|04|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8859|156|8455|248|376000|151.7|2481|9|67|1
03092021|03|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8826|155|8331|340|376000|151.7|2481|9|67|1
02092021|02|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8826|155|8331|340|376000|151.7|2481|9|67|1
01092021|01|09|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8817|155|8288|374|376000|151.7|2481|9|67|1
31082021|31|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8812|154|8288|370|376000|151.7|2481|9|67|1
30082021|30|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8799|154|8277|368|376000|151.7|2481|9|67|1
29082021|29|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8798|154|8253|391|376000|151.7|2481|9|67|1
28082021|28|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8786|152|8253|381|376000|151.7|2481|9|67|1
27082021|27|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8762|152|8176|434|376000|151.7|2481|9|67|1
26082021|26|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8732|152|8176|404|376000|151.7|2481|9|67|1
25082021|25|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8706|152|8125|429|376000|151.7|2481|9|67|1
24082021|24|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8673|152|8052|469|376000|151.7|2481|9|67|1
23082021|23|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8667|152|7976|539|376000|151.7|2481|9|67|1
22082021|22|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8643|152|7900|591|376000|151.7|2481|9|67|1
21082021|21|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8620|149|7900|571|376000|151.7|2481|9|67|1
20082021|20|08|2021|25|4|Bengkulu|Kota Bengkulu|Kota Bengkulu|8603|149|7841|613|376000|151.7|2481|9|67|1
