date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
27062021|27|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|16446|151|4873|11422|962000|508.1|1892|17|75|
26062021|26|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|16168|151|4873|11144|962000|508.1|1892|17|75|
25062021|25|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|15922|151|4873|10898|962000|508.1|1892|17|75|
24062021|24|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|15718|151|4873|10694|962000|508.1|1892|17|75|
23062021|23|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|15469|151|4873|10445|962000|508.1|1892|17|75|
22062021|22|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|15188|151|4873|10164|962000|508.1|1892|17|75|
21062021|21|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|15122|151|4807|10164|962000|508.1|1892|17|75|
20062021|20|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|14901|151|4807|9943|962000|508.1|1892|17|75|
19062021|19|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|14820|151|4726|9943|962000|508.1|1892|17|75|
18062021|18|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|14622|151|4726|9745|962000|508.1|1892|17|75|
17062021|17|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|14172|151|4726|9295|962000|508.1|1892|17|75|
16062021|16|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|14172|151|4726|9295|962000|508.1|1892|17|75|
15062021|15|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|13982|151|4726|9105|962000|508.1|1892|17|75|
14062021|14|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|13805|151|4726|8928|962000|508.1|1892|17|75|
13062021|13|06|2021|35|5|DI Yogyakarta|Kab. Bantul|Bantul|13680|151|4726|8803|962000|508.1|1892|17|75|
