date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
14032021|14|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|58247|1091|56068|1088|2400000|124.4|19282|8|56|
13032021|13|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|58089|1085|55810|1194|2400000|124.4|19282|8|56|
12032021|12|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|57938|1083|55467|1388|2400000|124.4|19282|8|56|
11032021|11|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|57555|1077|55314|1164|2400000|124.4|19282|8|56|
10032021|10|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|57304|1073|55191|1040|2400000|124.4|19282|8|56|
09032021|09|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|57157|1065|54971|1121|2400000|124.4|19282|8|56|
08032021|08|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|57044|1058|54757|1229|2400000|124.4|19282|8|56|
07032021|07|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|56681|1050|54407|1224|2400000|124.4|19282|8|56|
06032021|06|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|56425|1042|54095|1288|2400000|124.4|19282|8|56|
05032021|05|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|56146|1031|53927|1188|2400000|124.4|19282|8|56|
04032021|04|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|55923|1022|53681|1220|2400000|124.4|19282|8|56|
03032021|03|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|55530|1016|53238|1276|2400000|124.4|19282|8|56|
02032021|02|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|55225|1010|52815|1400|2400000|124.4|19282|8|56|
01032021|01|03|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|55066|1007|52418|1641|2400000|124.4|19282|8|56|
28022021|28|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|54758|999|52014|1745|2400000|124.4|19282|8|56|
27022021|27|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|54319|994|51780|1545|2400000|124.4|19282|8|56|
26022021|26|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|54026|980|51442|1604|2400000|124.4|19282|8|56|
25022021|25|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|53819|972|51291|1556|2400000|124.4|19282|8|56|
24022021|24|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|53554|966|50746|1842|2400000|124.4|19282|8|56|
23022021|23|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|53414|960|50167|2287|2400000|124.4|19282|8|56|
22022021|22|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|53329|952|49912|2465|2400000|124.4|19282|8|56|
21022021|21|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|52805|946|49462|2397|2400000|124.4|19282|8|56|
20022021|20|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|52292|934|49091|2267|2400000|124.4|19282|8|56|
19022021|19|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|51817|928|48623|2266|2400000|124.4|19282|8|56|
18022021|18|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|51614|923|48213|2478|2400000|124.4|19282|8|56|
17022021|17|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|51536|920|47785|2831|2400000|124.4|19282|8|56|
16022021|16|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|51212|911|47364|2937|2400000|124.4|19282|8|56|
15022021|15|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|50944|904|46831|3209|2400000|124.4|19282|8|56|
14022021|14|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|50600|898|46486|3216|2400000|124.4|19282|8|56|
13022021|13|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|50204|891|45713|3600|2400000|124.4|19282|8|56|
12022021|12|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|49592|885|45121|3586|2400000|124.4|19282|8|56|
11022021|11|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|49020|880|44037|4103|2400000|124.4|19282|8|56|
10022021|10|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|48415|873|43422|4120|2400000|124.4|19282|8|56|
09022021|09|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|47709|868|42736|4105|2400000|124.4|19282|8|56|
08022021|08|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|47225|856|42335|4034|2400000|124.4|19282|8|56|
07022021|07|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|46659|846|41752|4061|2400000|124.4|19282|8|56|
06022021|06|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|46165|838|41068|4259|2400000|124.4|19282|8|56|
05022021|05|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|45805|831|40280|4694|2400000|124.4|19282|8|56|
04022021|04|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|45208|820|39793|4595|2400000|124.4|19282|8|56|
03022021|03|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|44308|815|39161|4332|2400000|124.4|19282|8|56|
02022021|02|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|43671|805|38883|3983|2400000|124.4|19282|8|56|
01022021|01|02|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|42976|800|37936|4240|2400000|124.4|19282|8|56|
31012021|31|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|42413|779|37610|4024|2400000|124.4|19282|8|56|
30012021|30|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|41879|777|36872|4230|2400000|124.4|19282|8|56|
29012021|29|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|41311|770|36333|4208|2400000|124.4|19282|8|56|
28012021|28|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|40508|761|35971|3776|2400000|124.4|19282|8|56|
27012021|27|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|40031|749|35257|4025|2400000|124.4|19282|8|56|
26012021|26|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|39567|743|34995|3829|2400000|124.4|19282|8|56|
25012021|25|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|39185|738|34618|3829|2400000|124.4|19282|8|56|
24012021|24|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|38980|733|34149|4098|2400000|124.4|19282|8|56|
23012021|23|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|38295|724|33899|3672|2400000|124.4|19282|8|56|
22012021|22|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|37602|717|33300|3585|2400000|124.4|19282|8|56|
21012021|21|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|37029|709|33038|3282|2400000|124.4|19282|8|56|
20012021|20|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|36647|705|32688|3254|2400000|124.4|19282|8|56|
19012021|19|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|35939|699|32235|3005|2400000|124.4|19282|8|56|
18012021|18|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|35533|696|31587|3250|2400000|124.4|19282|8|56|
17012021|17|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|35312|691|31176|3445|2400000|124.4|19282|8|56|
16012021|16|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|34569|684|30372|3513|2400000|124.4|19282|8|56|
15012021|15|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|34063|676|30090|3297|2400000|124.4|19282|8|56|
14012021|14|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|33664|667|29707|3290|2400000|124.4|19282|8|56|
13012021|13|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|33201|657|29302|3242|2400000|124.4|19282|8|56|
12012021|12|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|32633|646|28867|3120|2400000|124.4|19282|8|56|
11012021|11|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|32167|637|28519|3011|2400000|124.4|19282|8|56|
10012021|10|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|31763|630|28113|3020|2400000|124.4|19282|8|56|
09012021|09|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|31284|621|27546|3117|2400000|124.4|19282|8|56|
08012021|08|01|2021|40|6|DKI Jakarta|Kota Jakarta Barat|Kota Jakarta Barat|30934|617|27079|3238|2400000|124.4|19282|8|56|
