date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
22042021|22|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|356|16|335|5|148000|1521.9|97|7|82|24
21042021|21|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|356|16|335|5|148000|1521.9|97|7|82|24
20042021|20|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|356|16|335|5|148000|1521.9|97|7|82|24
19042021|19|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|356|16|335|5|148000|1521.9|97|7|82|24
18042021|18|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|356|16|335|5|148000|1521.9|97|7|82|24
17042021|17|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|356|16|335|5|148000|1521.9|97|7|82|24
16042021|16|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|356|16|335|5|148000|1521.9|97|7|82|24
15042021|15|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|356|16|335|5|148000|1521.9|97|7|82|24
14042021|14|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|355|16|335|4|148000|1521.9|97|7|82|24
13042021|13|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|355|16|335|4|148000|1521.9|97|7|82|24
12042021|12|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|355|16|335|4|148000|1521.9|97|7|82|24
11042021|11|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|352|16|335|1|148000|1521.9|97|7|82|24
10042021|10|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|352|16|335|1|148000|1521.9|97|7|82|24
09042021|09|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|352|16|335|1|148000|1521.9|97|7|82|24
08042021|08|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|352|16|335|1|148000|1521.9|97|7|82|24
07042021|07|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|352|16|335|1|148000|1521.9|97|7|82|24
06042021|06|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|351|16|323|12|148000|1521.9|97|7|82|24
05042021|05|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|351|16|323|12|148000|1521.9|97|7|82|24
04042021|04|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|351|16|323|12|148000|1521.9|97|7|82|24
03042021|03|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|339|16|320|3|148000|1521.9|97|7|82|24
02042021|02|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|339|16|320|3|148000|1521.9|97|7|82|24
01042021|01|04|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|339|16|320|3|148000|1521.9|97|7|82|24
31032021|31|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|339|16|320|3|148000|1521.9|97|7|82|24
30032021|30|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|339|16|320|3|148000|1521.9|97|7|82|24
29032021|29|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|338|15|318|5|148000|1521.9|97|7|82|24
28032021|28|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|338|15|318|5|148000|1521.9|97|7|82|24
27032021|27|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|338|15|318|5|148000|1521.9|97|7|82|24
26032021|26|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|336|15|318|3|148000|1521.9|97|7|82|24
25032021|25|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|335|15|318|2|148000|1521.9|97|7|82|24
24032021|24|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|335|15|318|2|148000|1521.9|97|7|82|24
23032021|23|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|335|15|318|2|148000|1521.9|97|7|82|24
22032021|22|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|334|15|318|1|148000|1521.9|97|7|82|24
21032021|21|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|334|15|316|3|148000|1521.9|97|7|82|24
20032021|20|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
19032021|19|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
18032021|18|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
17032021|17|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
16032021|16|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
15032021|15|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
14032021|14|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
13032021|13|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
12032021|12|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
11032021|11|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
10032021|10|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
09032021|09|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
08032021|08|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
07032021|07|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
06032021|06|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|316||148000|1521.9|97|7|82|24
05032021|05|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|314|2|148000|1521.9|97|7|82|24
04032021|04|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|314|2|148000|1521.9|97|7|82|24
03032021|03|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|314|2|148000|1521.9|97|7|82|24
02032021|02|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|15|314|2|148000|1521.9|97|7|82|24
01032021|01|03|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|14|312|5|148000|1521.9|97|7|82|24
28022021|28|02|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|14|312|5|148000|1521.9|97|7|82|24
27022021|27|02|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|331|14|312|5|148000|1521.9|97|7|82|24
26022021|26|02|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|330|14|312|4|148000|1521.9|97|7|82|24
25022021|25|02|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|329|14|310|5|148000|1521.9|97|7|82|24
24022021|24|02|2021|46|7|Gorontalo|Kab. Boalemo|Boalemo|328|13|308|7|148000|1521.9|97|7|82|24
