date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
27062021|27|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1225|35|1031|159|318000|5804|55|8|124|
26062021|26|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1225|35|1031|159|318000|5804|55|8|124|
25062021|25|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1219|34|991|194|318000|5804|55|8|124|
24062021|24|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1206|34|991|181|318000|5804|55|8|124|
23062021|23|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1206|34|991|181|318000|5804|55|8|124|
22062021|22|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1200|34|964|202|318000|5804|55|8|124|
21062021|21|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1160|34|964|162|318000|5804|55|8|124|
20062021|20|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1144|34|936|174|318000|5804|55|8|124|
19062021|19|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1143|34|936|173|318000|5804|55|8|124|
18062021|18|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1143|34|936|173|318000|5804|55|8|124|
17062021|17|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1127|33|906|188|318000|5804|55|8|124|
16062021|16|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1127|33|906|188|318000|5804|55|8|124|
15062021|15|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1115|33|875|207|318000|5804|55|8|124|
14062021|14|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1115|33|875|207|318000|5804|55|8|124|
13062021|13|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1115|31|840|244|318000|5804|55|8|124|
12062021|12|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1084|31|793|260|318000|5804|55|8|124|
11062021|11|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1084|31|793|260|318000|5804|55|8|124|
10062021|10|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1084|31|793|260|318000|5804|55|8|124|
09062021|09|06|2021|52|8|Jambi|Kab. Batang Hari|Batang Hari|1084|31|793|260|318000|5804|55|8|124|
