date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
27062021|27|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2966|43|2762|161|420000|1010|416|10|93|
26062021|26|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2940|40|2683|217|420000|1010|416|10|93|
25062021|25|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2916|39|2683|194|420000|1010|416|10|93|
24062021|24|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2889|39|2683|167|420000|1010|416|10|93|
23062021|23|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2876|39|2683|154|420000|1010|416|10|93|
22062021|22|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2854|39|2682|133|420000|1010|416|10|93|
21062021|21|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2842|37|2670|135|420000|1010|416|10|93|
20062021|20|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2842|33|2635|174|420000|1010|416|10|93|
19062021|19|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2833|26|2601|206|420000|1010|416|10|93|
18062021|18|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2819|26|2590|203|420000|1010|416|10|93|
17062021|17|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2785|26|2573|186|420000|1010|416|10|93|
16062021|16|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2754|26|2536|192|420000|1010|416|10|93|
15062021|15|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2739|26|2517|196|420000|1010|416|10|93|
14062021|14|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2709|26|2453|230|420000|1010|416|10|93|
13062021|13|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2698|25|2438|235|420000|1010|416|10|93|
12062021|12|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2687|25|2430|232|420000|1010|416|10|93|
11062021|11|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2674|25|2429|220|420000|1010|416|10|93|
10062021|10|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2661|25|2412|224|420000|1010|416|10|93|
09062021|09|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2638|25|2405|208|420000|1010|416|10|93|
08062021|08|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2629|25|2403|201|420000|1010|416|10|93|
07062021|07|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2611|25|2397|189|420000|1010|416|10|93|
06062021|06|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2608|25|2397|186|420000|1010|416|10|93|
05062021|05|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2594|25|2397|172|420000|1010|416|10|93|
04062021|04|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2568|25|2397|146|420000|1010|416|10|93|
03062021|03|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2556|25|2351|180|420000|1010|416|10|93|
02062021|02|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2546|25|2277|244|420000|1010|416|10|93|
01062021|01|06|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2537|25|2273|239|420000|1010|416|10|93|
31052021|31|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2473|25|2235|213|420000|1010|416|10|93|
30052021|30|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2467|24|2228|215|420000|1010|416|10|93|
29052021|29|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2464|24|2226|214|420000|1010|416|10|93|
28052021|28|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2455|23|2222|210|420000|1010|416|10|93|
27052021|27|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2442|23|2222|197|420000|1010|416|10|93|
26052021|26|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2441|22|2211|208|420000|1010|416|10|93|
25052021|25|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2438|22|2168|248|420000|1010|416|10|93|
24052021|24|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2430|22|2141|267|420000|1010|416|10|93|
23052021|23|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2429|22|2094|313|420000|1010|416|10|93|
22052021|22|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2423|22|2087|314|420000|1010|416|10|93|
21052021|21|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2423|21|2067|335|420000|1010|416|10|93|
20052021|20|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2420|12|2065|343|420000|1010|416|10|93|
19052021|19|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2376|10|2040|326|420000|1010|416|10|93|
18052021|18|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2375|10|2003|362|420000|1010|416|10|93|
17052021|17|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2370|7|1984|379|420000|1010|416|10|93|
16052021|16|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2325|6|1963|356|420000|1010|416|10|93|
15052021|15|05|2021|498|9|Jawa Barat|Kab. Pangandaran|Pangandaran|2323|6|1963|354|420000|1010|416|10|93|
