date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
14032021|14|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6644|234|6223|187|1400000|1211.7|1161|26|460|
13032021|13|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6636|234|6222|180|1400000|1211.7|1161|26|460|
12032021|12|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6635|234|6217|184|1400000|1211.7|1161|26|460|
11032021|11|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6612|234|6212|166|1400000|1211.7|1161|26|460|
10032021|10|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6607|234|6185|188|1400000|1211.7|1161|26|460|
09032021|09|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6600|230|6170|200|1400000|1211.7|1161|26|460|
08032021|08|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6587|228|6157|202|1400000|1211.7|1161|26|460|
07032021|07|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6572|227|6130|215|1400000|1211.7|1161|26|460|
06032021|06|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6566|225|6116|225|1400000|1211.7|1161|26|460|
05032021|05|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6539|222|6110|207|1400000|1211.7|1161|26|460|
04032021|04|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6520|220|6096|204|1400000|1211.7|1161|26|460|
03032021|03|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6511|217|6064|230|1400000|1211.7|1161|26|460|
02032021|02|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6508|215|6052|241|1400000|1211.7|1161|26|460|
01032021|01|03|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6499|214|6032|253|1400000|1211.7|1161|26|460|
28022021|28|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6487|213|6021|253|1400000|1211.7|1161|26|460|
27022021|27|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6483|213|6007|263|1400000|1211.7|1161|26|460|
26022021|26|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6460|212|5985|263|1400000|1211.7|1161|26|460|
25022021|25|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6429|210|5970|249|1400000|1211.7|1161|26|460|
24022021|24|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6423|205|5948|270|1400000|1211.7|1161|26|460|
23022021|23|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6410|205|5898|307|1400000|1211.7|1161|26|460|
22022021|22|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6374|205|5846|323|1400000|1211.7|1161|26|460|
21022021|21|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6365|203|5815|347|1400000|1211.7|1161|26|460|
20022021|20|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6348|203|5742|403|1400000|1211.7|1161|26|460|
19022021|19|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6295|202|5708|385|1400000|1211.7|1161|26|460|
18022021|18|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6181|190|5608|383|1400000|1211.7|1161|26|460|
17022021|17|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6126|189|5451|486|1400000|1211.7|1161|26|460|
16022021|16|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|6058|166|5419|473|1400000|1211.7|1161|26|460|
15022021|15|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5998|164|5358|476|1400000|1211.7|1161|26|460|
14022021|14|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5996|164|5345|487|1400000|1211.7|1161|26|460|
13022021|13|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5992|164|5246|582|1400000|1211.7|1161|26|460|
12022021|12|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5948|163|5225|560|1400000|1211.7|1161|26|460|
11022021|11|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5911|161|5183|567|1400000|1211.7|1161|26|460|
10022021|10|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5888|161|5117|610|1400000|1211.7|1161|26|460|
09022021|09|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5864|161|5084|619|1400000|1211.7|1161|26|460|
08022021|08|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5826|161|5072|593|1400000|1211.7|1161|26|460|
07022021|07|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5799|161|5017|621|1400000|1211.7|1161|26|460|
06022021|06|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5796|159|5010|627|1400000|1211.7|1161|26|460|
05022021|05|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5748|158|4954|636|1400000|1211.7|1161|26|460|
04022021|04|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5706|157|4883|666|1400000|1211.7|1161|26|460|
03022021|03|02|2021|100|10|Jawa Tengah|Kab. Kebumen|Kebumen|5637|145|4862|630|1400000|1211.7|1161|26|460|
