date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
19052021|19|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|443||311|132|293000|5075.5|58|17|124|12
18052021|18|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||300|74|293000|5075.5|58|17|124|12
17052021|17|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||300|74|293000|5075.5|58|17|124|12
16052021|16|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||300|74|293000|5075.5|58|17|124|12
15052021|15|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||300|74|293000|5075.5|58|17|124|12
14052021|14|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||300|74|293000|5075.5|58|17|124|12
13052021|13|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
12052021|12|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
11052021|11|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
10052021|10|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
09052021|09|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
08052021|08|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
07052021|07|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
06052021|06|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
05052021|05|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
04052021|04|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
03052021|03|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||294|80|293000|5075.5|58|17|124|12
02052021|02|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|374||292|82|293000|5075.5|58|17|124|12
01052021|01|05|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|372||268|104|293000|5075.5|58|17|124|12
30042021|30|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|334||265|69|293000|5075.5|58|17|124|12
29042021|29|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||262|69|293000|5075.5|58|17|124|12
28042021|28|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||262|69|293000|5075.5|58|17|124|12
27042021|27|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||262|69|293000|5075.5|58|17|124|12
26042021|26|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||262|69|293000|5075.5|58|17|124|12
25042021|25|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||262|69|293000|5075.5|58|17|124|12
24042021|24|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||262|69|293000|5075.5|58|17|124|12
23042021|23|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||259|72|293000|5075.5|58|17|124|12
22042021|22|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||259|72|293000|5075.5|58|17|124|12
21042021|21|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||259|72|293000|5075.5|58|17|124|12
20042021|20|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||259|72|293000|5075.5|58|17|124|12
19042021|19|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||259|72|293000|5075.5|58|17|124|12
18042021|18|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|331||259|72|293000|5075.5|58|17|124|12
17042021|17|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|325||255|70|293000|5075.5|58|17|124|12
16042021|16|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|325||255|70|293000|5075.5|58|17|124|12
15042021|15|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|325||253|72|293000|5075.5|58|17|124|12
14042021|14|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|325||253|72|293000|5075.5|58|17|124|12
13042021|13|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|316||250|66|293000|5075.5|58|17|124|12
12042021|12|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|314||248|66|293000|5075.5|58|17|124|12
11042021|11|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|314||247|67|293000|5075.5|58|17|124|12
10042021|10|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|311||244|67|293000|5075.5|58|17|124|12
09042021|09|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|306||239|67|293000|5075.5|58|17|124|12
08042021|08|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|304||235|69|293000|5075.5|58|17|124|12
07042021|07|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|304||231|73|293000|5075.5|58|17|124|12
06042021|06|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|303||226|77|293000|5075.5|58|17|124|12
05042021|05|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|290||211|79|293000|5075.5|58|17|124|12
04042021|04|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|290||211|79|293000|5075.5|58|17|124|12
03042021|03|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|285||207|78|293000|5075.5|58|17|124|12
02042021|02|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|285||207|78|293000|5075.5|58|17|124|12
01042021|01|04|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|283||204|79|293000|5075.5|58|17|124|12
31032021|31|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|283||203|80|293000|5075.5|58|17|124|12
30032021|30|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|280||199|81|293000|5075.5|58|17|124|12
29032021|29|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|278||196|82|293000|5075.5|58|17|124|12
28032021|28|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|278||194|84|293000|5075.5|58|17|124|12
27032021|27|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|278||190|88|293000|5075.5|58|17|124|12
26032021|26|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|278||187|91|293000|5075.5|58|17|124|12
25032021|25|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|278||183|95|293000|5075.5|58|17|124|12
24032021|24|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|278||179|99|293000|5075.5|58|17|124|12
23032021|23|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|276||176|100|293000|5075.5|58|17|124|12
22032021|22|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|276||176|100|293000|5075.5|58|17|124|12
21032021|21|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|276||175|101|293000|5075.5|58|17|124|12
20032021|20|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|275||171|104|293000|5075.5|58|17|124|12
19032021|19|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|272||167|105|293000|5075.5|58|17|124|12
18032021|18|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|272||165|107|293000|5075.5|58|17|124|12
17032021|17|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|272||165|107|293000|5075.5|58|17|124|12
16032021|16|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|268||164|104|293000|5075.5|58|17|124|12
15032021|15|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|268||163|105|293000|5075.5|58|17|124|12
14032021|14|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|268||163|105|293000|5075.5|58|17|124|12
13032021|13|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|264||161|103|293000|5075.5|58|17|124|12
12032021|12|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|256||160|96|293000|5075.5|58|17|124|12
11032021|11|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|256||160|96|293000|5075.5|58|17|124|12
10032021|10|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|256||160|96|293000|5075.5|58|17|124|12
09032021|09|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|251||159|92|293000|5075.5|58|17|124|12
08032021|08|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|250||158|92|293000|5075.5|58|17|124|12
07032021|07|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|250||158|92|293000|5075.5|58|17|124|12
06032021|06|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|250||158|92|293000|5075.5|58|17|124|12
05032021|05|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|244||155|89|293000|5075.5|58|17|124|12
04032021|04|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|244||154|90|293000|5075.5|58|17|124|12
03032021|03|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|244||153|91|293000|5075.5|58|17|124|12
02032021|02|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|243||150|93|293000|5075.5|58|17|124|12
01032021|01|03|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|243||150|93|293000|5075.5|58|17|124|12
28022021|28|02|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|243||150|93|293000|5075.5|58|17|124|12
27022021|27|02|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|242||149|93|293000|5075.5|58|17|124|12
26022021|26|02|2021|162|12|Kalimantan Barat|Kab. Bengkayang|Bengkayang|241||148|93|293000|5075.5|58|17|124|12
