date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
13052021|13|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
12052021|12|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
11052021|11|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
10052021|10|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
09052021|09|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
08052021|08|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
07052021|07|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
06052021|06|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
05052021|05|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
04052021|04|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
03052021|03|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
02052021|02|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
01052021|01|05|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
30042021|30|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
29042021|29|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
28042021|28|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
27042021|27|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
26042021|26|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
25042021|25|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
24042021|24|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
23042021|23|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
22042021|22|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
21042021|21|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
20042021|20|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
19042021|19|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
18042021|18|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
17042021|17|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
16042021|16|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
15042021|15|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
14042021|14|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
13042021|13|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
12042021|12|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
11042021|11|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
10042021|10|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
09042021|09|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
08042021|08|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
07042021|07|04|2021|176|13|Kalimantan Selatan|Kab. Balangan|Balangan|1461|23|1330|108|129000|1878.3|69|8|157|
