date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
08062021|08|06|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|690|22|649|19|127000|8830|14|6|93|8
07062021|07|06|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|690|22|649|19|127000|8830|14|6|93|8
06062021|06|06|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|687|22|648|17|127000|8830|14|6|93|8
05062021|05|06|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|687|22|648|17|127000|8830|14|6|93|8
04062021|04|06|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|687|22|647|18|127000|8830|14|6|93|8
03062021|03|06|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|686|22|645|19|127000|8830|14|6|93|8
02062021|02|06|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|681|22|643|16|127000|8830|14|6|93|8
01062021|01|06|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|680|21|641|18|127000|8830|14|6|93|8
31052021|31|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|680|21|641|18|127000|8830|14|6|93|8
30052021|30|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|677|21|641|15|127000|8830|14|6|93|8
29052021|29|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|677|21|641|15|127000|8830|14|6|93|8
28052021|28|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|676|21|638|17|127000|8830|14|6|93|8
27052021|27|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|676|21|638|17|127000|8830|14|6|93|8
26052021|26|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|668|21|634|13|127000|8830|14|6|93|8
25052021|25|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|668|21|633|14|127000|8830|14|6|93|8
24052021|24|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|668|21|633|14|127000|8830|14|6|93|8
23052021|23|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|668|21|633|14|127000|8830|14|6|93|8
22052021|22|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|668|21|631|16|127000|8830|14|6|93|8
21052021|21|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|665|21|630|14|127000|8830|14|6|93|8
20052021|20|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|665|21|627|17|127000|8830|14|6|93|8
19052021|19|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|665|21|626|18|127000|8830|14|6|93|8
18052021|18|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|663|21|626|16|127000|8830|14|6|93|8
17052021|17|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|658|20|625|13|127000|8830|14|6|93|8
16052021|16|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|658|20|625|13|127000|8830|14|6|93|8
15052021|15|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|657|20|619|18|127000|8830|14|6|93|8
14052021|14|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|657|20|617|20|127000|8830|14|6|93|8
13052021|13|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|656|20|615|21|127000|8830|14|6|93|8
12052021|12|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|655|19|615|21|127000|8830|14|6|93|8
11052021|11|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|655|19|611|25|127000|8830|14|6|93|8
10052021|10|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|655|19|609|27|127000|8830|14|6|93|8
09052021|09|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|648|19|605|24|127000|8830|14|6|93|8
08052021|08|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|648|19|604|25|127000|8830|14|6|93|8
07052021|07|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|647|19|602|26|127000|8830|14|6|93|8
06052021|06|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|641|19|600|22|127000|8830|14|6|93|8
05052021|05|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|640|19|599|22|127000|8830|14|6|93|8
04052021|04|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|640|19|593|28|127000|8830|14|6|93|8
03052021|03|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|632|19|589|24|127000|8830|14|6|93|8
02052021|02|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|632|19|589|24|127000|8830|14|6|93|8
01052021|01|05|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|632|19|589|24|127000|8830|14|6|93|8
30042021|30|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|631|19|587|25|127000|8830|14|6|93|8
29042021|29|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|631|19|582|30|127000|8830|14|6|93|8
28042021|28|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|631|19|581|31|127000|8830|14|6|93|8
27042021|27|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|622|19|577|26|127000|8830|14|6|93|8
26042021|26|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|622|19|570|33|127000|8830|14|6|93|8
25042021|25|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|622|19|570|33|127000|8830|14|6|93|8
24042021|24|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|622|19|563|40|127000|8830|14|6|93|8
23042021|23|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|610|19|562|29|127000|8830|14|6|93|8
22042021|22|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|610|19|561|30|127000|8830|14|6|93|8
21042021|21|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|610|19|561|30|127000|8830|14|6|93|8
20042021|20|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|608|19|560|29|127000|8830|14|6|93|8
19042021|19|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|605|19|547|39|127000|8830|14|6|93|8
18042021|18|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|596|19|544|33|127000|8830|14|6|93|8
17042021|17|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|596|19|544|33|127000|8830|14|6|93|8
16042021|16|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|596|19|542|35|127000|8830|14|6|93|8
15042021|15|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|595|18|541|36|127000|8830|14|6|93|8
14042021|14|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|587|18|540|29|127000|8830|14|6|93|8
13042021|13|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|587|17|537|33|127000|8830|14|6|93|8
12042021|12|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|587|17|535|35|127000|8830|14|6|93|8
11042021|11|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|575|17|534|24|127000|8830|14|6|93|8
10042021|10|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|575|17|534|24|127000|8830|14|6|93|8
09042021|09|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|575|17|533|25|127000|8830|14|6|93|8
08042021|08|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|568|17|530|21|127000|8830|14|6|93|8
07042021|07|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|568|17|526|25|127000|8830|14|6|93|8
06042021|06|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|568|17|523|28|127000|8830|14|6|93|8
05042021|05|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|568|17|520|31|127000|8830|14|6|93|8
04042021|04|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|558|17|520|21|127000|8830|14|6|93|8
03042021|03|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|557|17|519|21|127000|8830|14|6|93|8
02042021|02|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|557|17|518|22|127000|8830|14|6|93|8
01042021|01|04|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|557|17|516|24|127000|8830|14|6|93|8
31032021|31|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|550|17|516|17|127000|8830|14|6|93|8
30032021|30|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|549|17|514|18|127000|8830|14|6|93|8
29032021|29|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|547|17|511|19|127000|8830|14|6|93|8
28032021|28|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|540|17|511|12|127000|8830|14|6|93|8
27032021|27|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|540|17|508|15|127000|8830|14|6|93|8
26032021|26|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|539|17|508|14|127000|8830|14|6|93|8
25032021|25|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|536|17|506|13|127000|8830|14|6|93|8
24032021|24|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|536|17|505|14|127000|8830|14|6|93|8
23032021|23|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|531|17|500|14|127000|8830|14|6|93|8
22032021|22|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|531|17|500|14|127000|8830|14|6|93|8
21032021|21|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|530|17|500|13|127000|8830|14|6|93|8
20032021|20|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|530|17|489|24|127000|8830|14|6|93|8
19032021|19|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|530|17|489|24|127000|8830|14|6|93|8
18032021|18|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|530|17|489|24|127000|8830|14|6|93|8
17032021|17|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|528|17|483|28|127000|8830|14|6|93|8
16032021|16|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|528|17|483|28|127000|8830|14|6|93|8
15032021|15|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|528|17|483|28|127000|8830|14|6|93|8
14032021|14|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|519|17|483|19|127000|8830|14|6|93|8
13032021|13|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|519|17|481|21|127000|8830|14|6|93|8
12032021|12|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|518|17|480|21|127000|8830|14|6|93|8
11032021|11|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|518|17|480|21|127000|8830|14|6|93|8
10032021|10|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|518|17|479|22|127000|8830|14|6|93|8
09032021|09|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|517|17|479|21|127000|8830|14|6|93|8
08032021|08|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|506|17|479|10|127000|8830|14|6|93|8
07032021|07|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|502|17|479|6|127000|8830|14|6|93|8
06032021|06|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|501|17|478|6|127000|8830|14|6|93|8
05032021|05|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|501|17|477|7|127000|8830|14|6|93|8
04032021|04|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|501|17|474|10|127000|8830|14|6|93|8
03032021|03|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|499|17|474|8|127000|8830|14|6|93|8
02032021|02|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|499|17|474|8|127000|8830|14|6|93|8
01032021|01|03|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|499|17|474|8|127000|8830|14|6|93|8
28022021|28|02|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|497|17|469|11|127000|8830|14|6|93|8
27022021|27|02|2021|189|14|Kalimantan Tengah|Kab. Barito Selatan|Barito Selatan|497|17|469|11|127000|8830|14|6|93|8
