date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
13052021|13|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16329|585|15410|334|640000|527|1215|6|34|5
12052021|12|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16329|585|15410|334|640000|527|1215|6|34|5
11052021|11|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16329|585|15410|334|640000|527|1215|6|34|5
10052021|10|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16296|584|15362|350|640000|527|1215|6|34|5
09052021|09|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16296|584|15362|350|640000|527|1215|6|34|5
08052021|08|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16296|584|15362|350|640000|527|1215|6|34|5
07052021|07|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16259|583|15306|370|640000|527|1215|6|34|5
06052021|06|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16259|583|15306|370|640000|527|1215|6|34|5
05052021|05|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16189|581|15249|359|640000|527|1215|6|34|5
04052021|04|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16168|578|15219|371|640000|527|1215|6|34|5
03052021|03|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16168|578|15219|371|640000|527|1215|6|34|5
02052021|02|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16151|576|15188|387|640000|527|1215|6|34|5
01052021|01|05|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16110|575|15120|415|640000|527|1215|6|34|5
30042021|30|04|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16110|575|15120|415|640000|527|1215|6|34|5
29042021|29|04|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16078|575|15079|424|640000|527|1215|6|34|5
28042021|28|04|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|16049|574|15040|435|640000|527|1215|6|34|5
27042021|27|04|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|15956|573|14966|417|640000|527|1215|6|34|5
26042021|26|04|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|15956|573|14931|452|640000|527|1215|6|34|5
25042021|25|04|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|15956|573|14931|452|640000|527|1215|6|34|5
24042021|24|04|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|15847|572|14818|457|640000|527|1215|6|34|5
23042021|23|04|2021|203|15|Kalimantan Timur|Kota Balikpapan|Kota Balikpapan|15847|572|14818|457|640000|527|1215|6|34|5
