date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
01042021|01|04|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2714|59|2314|341|134000|13925.7|10|10|81|110
31032021|31|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2708|58|2290|360|134000|13925.7|10|10|81|110
30032021|30|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2697|58|2290|349|134000|13925.7|10|10|81|110
29032021|29|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2697|58|2250|389|134000|13925.7|10|10|81|110
28032021|28|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2692|58|2241|393|134000|13925.7|10|10|81|110
27032021|27|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2681|58|2241|382|134000|13925.7|10|10|81|110
26032021|26|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2681|57|2234|390|134000|13925.7|10|10|81|110
25032021|25|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2662|57|2181|424|134000|13925.7|10|10|81|110
24032021|24|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2653|57|2181|415|134000|13925.7|10|10|81|110
23032021|23|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2650|57|2180|413|134000|13925.7|10|10|81|110
22032021|22|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2649|56|2122|471|134000|13925.7|10|10|81|110
21032021|21|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2592|56|2103|433|134000|13925.7|10|10|81|110
20032021|20|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2592|56|2091|445|134000|13925.7|10|10|81|110
19032021|19|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2561|56|2091|414|134000|13925.7|10|10|81|110
18032021|18|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2541|56|2091|394|134000|13925.7|10|10|81|110
17032021|17|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2537|56|2081|400|134000|13925.7|10|10|81|110
16032021|16|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2527|56|2076|395|134000|13925.7|10|10|81|110
15032021|15|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2519|55|2076|388|134000|13925.7|10|10|81|110
14032021|14|03|2021|206|16|Kalimantan Utara|Kab. Bulungan|Bulungan|2511|55|2059|397|134000|13925.7|10|10|81|110
