date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
06042021|06|04|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2391|33|2251|107|323000|2950.7|109|8|81|48
05042021|05|04|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2379|32|2243|104|323000|2950.7|109|8|81|48
04042021|04|04|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2359|32|2233|94|323000|2950.7|109|8|81|48
03042021|03|04|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2343|31|2231|81|323000|2950.7|109|8|81|48
02042021|02|04|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2336|31|2222|83|323000|2950.7|109|8|81|48
01042021|01|04|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2323|31|2210|82|323000|2950.7|109|8|81|48
31032021|31|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2308|31|2204|73|323000|2950.7|109|8|81|48
30032021|30|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2300|31|2197|72|323000|2950.7|109|8|81|48
29032021|29|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2280|31|2179|70|323000|2950.7|109|8|81|48
28032021|28|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2280|31|2179|70|323000|2950.7|109|8|81|48
27032021|27|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2268|31|2159|78|323000|2950.7|109|8|81|48
26032021|26|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2259|30|2156|73|323000|2950.7|109|8|81|48
25032021|25|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2248|30|2152|66|323000|2950.7|109|8|81|48
24032021|24|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2237|30|2135|72|323000|2950.7|109|8|81|48
23032021|23|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2231|30|2133|68|323000|2950.7|109|8|81|48
22032021|22|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2224|30|2121|73|323000|2950.7|109|8|81|48
21032021|21|03|2021|10|17|Kepulauan Bangka Belitung|Kab. Bangka|Bangka|2217|29|2118|70|323000|2950.7|109|8|81|48
