date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
05072021|05|07|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|14960|328|12169|2463|1100000|960.3|1142|12|64|354
04072021|04|07|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|14731|322|12063|2346|1100000|960.3|1142|12|64|354
03072021|03|07|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|14510|320|11847|2343|1100000|960.3|1142|12|64|354
02072021|02|07|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|14127|313|11745|2069|1100000|960.3|1142|12|64|354
01072021|01|07|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|13873|306|11557|2010|1100000|960.3|1142|12|64|354
30062021|30|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|13673|300|11449|1924|1100000|960.3|1142|12|64|354
29062021|29|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|13493|294|11312|1887|1100000|960.3|1142|12|64|354
28062021|28|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|13194|289|11187|1718|1100000|960.3|1142|12|64|354
27062021|27|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|13032|283|11061|1688|1100000|960.3|1142|12|64|354
26062021|26|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|12887|274|10914|1699|1100000|960.3|1142|12|64|354
25062021|25|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|12616|268|10817|1531|1100000|960.3|1142|12|64|354
24062021|24|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|12436|264|10765|1407|1100000|960.3|1142|12|64|354
23062021|23|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|12194|257|10637|1300|1100000|960.3|1142|12|64|354
22062021|22|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|12075|252|10513|1310|1100000|960.3|1142|12|64|354
21062021|21|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|11995|248|10403|1344|1100000|960.3|1142|12|64|354
20062021|20|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|11831|246|10246|1339|1100000|960.3|1142|12|64|354
19062021|19|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|11661|240|10201|1220|1100000|960.3|1142|12|64|354
18062021|18|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|11472|238|10029|1205|1100000|960.3|1142|12|64|354
17062021|17|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|11341|236|9977|1128|1100000|960.3|1142|12|64|354
16062021|16|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|11188|231|9822|1135|1100000|960.3|1142|12|64|354
15062021|15|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|11058|226|9711|1121|1100000|960.3|1142|12|64|354
14062021|14|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|10958|224|9632|1102|1100000|960.3|1142|12|64|354
13062021|13|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|10895|222|9547|1126|1100000|960.3|1142|12|64|354
12062021|12|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|10831|222|9487|1122|1100000|960.3|1142|12|64|354
11062021|11|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|10636|221|9346|1069|1100000|960.3|1142|12|64|354
10062021|10|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|10511|220|9280|1011|1100000|960.3|1142|12|64|354
09062021|09|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|10351|220|9144|987|1100000|960.3|1142|12|64|354
08062021|08|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|10187|220|9011|956|1100000|960.3|1142|12|64|354
07062021|07|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|10036|218|8876|942|1100000|960.3|1142|12|64|354
06062021|06|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|9859|216|8513|1130|1100000|960.3|1142|12|64|354
05062021|05|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|9859|216|8513|1130|1100000|960.3|1142|12|64|354
04062021|04|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|9679|214|8323|1142|1100000|960.3|1142|12|64|354
03062021|03|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|9578|213|8227|1138|1100000|960.3|1142|12|64|354
02062021|02|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|9455|212|8154|1089|1100000|960.3|1142|12|64|354
01062021|01|06|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|9331|207|7962|1162|1100000|960.3|1142|12|64|354
31052021|31|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|9285|198|7895|1192|1100000|960.3|1142|12|64|354
30052021|30|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|9221|187|7800|1234|1100000|960.3|1142|12|64|354
29052021|29|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|9020|184|7784|1052|1100000|960.3|1142|12|64|354
28052021|28|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8838|184|7714|940|1100000|960.3|1142|12|64|354
27052021|27|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8730|181|7612|937|1100000|960.3|1142|12|64|354
26052021|26|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8585|180|7582|823|1100000|960.3|1142|12|64|354
25052021|25|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8509|180|7548|781|1100000|960.3|1142|12|64|354
24052021|24|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8386|177|7522|687|1100000|960.3|1142|12|64|354
23052021|23|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8335|177|7477|681|1100000|960.3|1142|12|64|354
22052021|22|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8276|176|7423|677|1100000|960.3|1142|12|64|354
21052021|21|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8212|176|7377|659|1100000|960.3|1142|12|64|354
20052021|20|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8147|175|7349|623|1100000|960.3|1142|12|64|354
19052021|19|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8067|174|7328|565|1100000|960.3|1142|12|64|354
18052021|18|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|8033|173|7271|589|1100000|960.3|1142|12|64|354
17052021|17|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7970|172|7219|579|1100000|960.3|1142|12|64|354
16052021|16|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7949|171|7179|599|1100000|960.3|1142|12|64|354
15052021|15|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7922|170|7143|609|1100000|960.3|1142|12|64|354
14052021|14|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7902|170|7131|601|1100000|960.3|1142|12|64|354
13052021|13|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7884|170|7130|584|1100000|960.3|1142|12|64|354
12052021|12|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7840|170|7031|639|1100000|960.3|1142|12|64|354
11052021|11|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7816|162|6922|732|1100000|960.3|1142|12|64|354
10052021|10|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7769|162|6857|750|1100000|960.3|1142|12|64|354
09052021|09|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7736|162|6820|754|1100000|960.3|1142|12|64|354
08052021|08|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7691|162|6738|791|1100000|960.3|1142|12|64|354
07052021|07|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7658|162|6720|776|1100000|960.3|1142|12|64|354
06052021|06|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7607|161|6700|746|1100000|960.3|1142|12|64|354
05052021|05|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7535|161|6700|674|1100000|960.3|1142|12|64|354
04052021|04|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7485|161|6700|624|1100000|960.3|1142|12|64|354
03052021|03|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7409|161|6700|548|1100000|960.3|1142|12|64|354
02052021|02|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7370|161|6700|509|1100000|960.3|1142|12|64|354
01052021|01|05|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7343|161|6700|482|1100000|960.3|1142|12|64|354
30042021|30|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7260|161|6700|399|1100000|960.3|1142|12|64|354
29042021|29|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7197|161|6700|336|1100000|960.3|1142|12|64|354
28042021|28|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|7155|161|6700|294|1100000|960.3|1142|12|64|354
27042021|27|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6831|159|6209|463|1100000|960.3|1142|12|64|354
26042021|26|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6831|159|6209|463|1100000|960.3|1142|12|64|354
25042021|25|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6831|159|6209|463|1100000|960.3|1142|12|64|354
24042021|24|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6831|159|6209|463|1100000|960.3|1142|12|64|354
23042021|23|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6831|159|6209|463|1100000|960.3|1142|12|64|354
22042021|22|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6808|159|6181|468|1100000|960.3|1142|12|64|354
21042021|21|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6770|158|6165|447|1100000|960.3|1142|12|64|354
20042021|20|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6730|158|6146|426|1100000|960.3|1142|12|64|354
19042021|19|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6685|158|6128|399|1100000|960.3|1142|12|64|354
18042021|18|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6669|158|6118|393|1100000|960.3|1142|12|64|354
17042021|17|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6640|158|6109|373|1100000|960.3|1142|12|64|354
16042021|16|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6595|158|6087|350|1100000|960.3|1142|12|64|354
15042021|15|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6575|157|6074|344|1100000|960.3|1142|12|64|354
14042021|14|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6485|157|6059|269|1100000|960.3|1142|12|64|354
13042021|13|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6454|156|6045|253|1100000|960.3|1142|12|64|354
12042021|12|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6422|156|6045|221|1100000|960.3|1142|12|64|354
11042021|11|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6410|156|6039|215|1100000|960.3|1142|12|64|354
10042021|10|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6388|156|6030|202|1100000|960.3|1142|12|64|354
09042021|09|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6366|156|6020|190|1100000|960.3|1142|12|64|354
08042021|08|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6338|156|6011|171|1100000|960.3|1142|12|64|354
07042021|07|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6330|156|6004|170|1100000|960.3|1142|12|64|354
06042021|06|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6309|156|5993|160|1100000|960.3|1142|12|64|354
05042021|05|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6296|156|5983|157|1100000|960.3|1142|12|64|354
04042021|04|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6280|155|5976|149|1100000|960.3|1142|12|64|354
03042021|03|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6275|155|5967|153|1100000|960.3|1142|12|64|354
02042021|02|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
01042021|01|04|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
31032021|31|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
30032021|30|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
29032021|29|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
28032021|28|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
27032021|27|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
26032021|26|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
25032021|25|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
24032021|24|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
23032021|23|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
22032021|22|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
21032021|21|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
20032021|20|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
19032021|19|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
18032021|18|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
17032021|17|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
16032021|16|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
15032021|15|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
14032021|14|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
13032021|13|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
12032021|12|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
11032021|11|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
10032021|10|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
09032021|09|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
08032021|08|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
07032021|07|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
06032021|06|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
05032021|05|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
04032021|04|03|2021|217|18|Kepulauan Riau|Kota Batam|Kota Batam|6272|155|5958|159|1100000|960.3|1142|12|64|354
