date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
01042021|01|04|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|5120|325|4640|155|1200000|296|4100|20|126|2
31032021|31|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|5109|325|4627|157|1200000|296|4100|20|126|2
30032021|30|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|5099|325|4610|164|1200000|296|4100|20|126|2
29032021|29|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|5084|325|4596|163|1200000|296|4100|20|126|2
28032021|28|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|5068|324|4583|161|1200000|296|4100|20|126|2
27032021|27|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|5055|324|4573|158|1200000|296|4100|20|126|2
26032021|26|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|5040|323|4561|156|1200000|296|4100|20|126|2
25032021|25|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|5028|322|4550|156|1200000|296|4100|20|126|2
24032021|24|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|5011|322|4533|156|1200000|296|4100|20|126|2
23032021|23|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4996|322|4521|153|1200000|296|4100|20|126|2
22032021|22|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4980|322|4504|154|1200000|296|4100|20|126|2
21032021|21|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4955|322|4473|160|1200000|296|4100|20|126|2
20032021|20|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4955|322|4473|160|1200000|296|4100|20|126|2
19032021|19|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4941|320|4457|164|1200000|296|4100|20|126|2
18032021|18|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4928|320|4436|172|1200000|296|4100|20|126|2
17032021|17|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4910|318|4414|178|1200000|296|4100|20|126|2
16032021|16|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4896|317|4395|184|1200000|296|4100|20|126|2
15032021|15|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4884|316|4376|192|1200000|296|4100|20|126|2
14032021|14|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4872|313|4360|199|1200000|296|4100|20|126|2
13032021|13|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4860|312|4343|205|1200000|296|4100|20|126|2
12032021|12|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4848|311|4328|209|1200000|296|4100|20|126|2
11032021|11|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4835|310|4316|209|1200000|296|4100|20|126|2
10032021|10|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4818|308|4302|208|1200000|296|4100|20|126|2
09032021|09|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4801|308|4290|203|1200000|296|4100|20|126|2
08032021|08|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4789|308|4280|201|1200000|296|4100|20|126|2
07032021|07|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4779|307|4274|198|1200000|296|4100|20|126|2
06032021|06|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4767|307|4263|197|1200000|296|4100|20|126|2
05032021|05|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4754|307|4254|193|1200000|296|4100|20|126|2
04032021|04|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4731|306|4235|190|1200000|296|4100|20|126|2
03032021|03|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4731|306|4235|190|1200000|296|4100|20|126|2
02032021|02|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4717|306|4215|196|1200000|296|4100|20|126|2
01032021|01|03|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4707|305|4195|207|1200000|296|4100|20|126|2
28022021|28|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4692|304|4171|217|1200000|296|4100|20|126|2
27022021|27|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4669|304|4145|220|1200000|296|4100|20|126|2
26022021|26|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4647|304|4119|224|1200000|296|4100|20|126|2
25022021|25|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4625|303|4088|234|1200000|296|4100|20|126|2
24022021|24|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4604|302|4049|253|1200000|296|4100|20|126|2
23022021|23|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4584|302|4009|273|1200000|296|4100|20|126|2
22022021|22|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4563|301|3971|291|1200000|296|4100|20|126|2
21022021|21|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4546|300|3931|315|1200000|296|4100|20|126|2
20022021|20|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4524|300|3891|333|1200000|296|4100|20|126|2
19022021|19|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4502|296|3850|356|1200000|296|4100|20|126|2
18022021|18|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4481|295|3809|377|1200000|296|4100|20|126|2
17022021|17|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4460|295|3767|398|1200000|296|4100|20|126|2
16022021|16|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4438|295|3725|418|1200000|296|4100|20|126|2
15022021|15|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4414|294|3686|434|1200000|296|4100|20|126|2
14022021|14|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4391|293|3648|450|1200000|296|4100|20|126|2
13022021|13|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4370|292|3611|467|1200000|296|4100|20|126|2
12022021|12|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4348|290|3568|490|1200000|296|4100|20|126|2
11022021|11|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4326|289|3536|501|1200000|296|4100|20|126|2
10022021|10|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4312|285|3500|527|1200000|296|4100|20|126|2
09022021|09|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4285|282|3464|539|1200000|296|4100|20|126|2
08022021|08|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4251|280|3429|542|1200000|296|4100|20|126|2
07022021|07|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4220|276|3396|548|1200000|296|4100|20|126|2
06022021|06|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4190|276|3363|551|1200000|296|4100|20|126|2
05022021|05|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4153|276|3323|554|1200000|296|4100|20|126|2
04022021|04|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4117|275|3290|552|1200000|296|4100|20|126|2
03022021|03|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4086|272|3258|556|1200000|296|4100|20|126|2
02022021|02|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4045|270|3189|586|1200000|296|4100|20|126|2
01022021|01|02|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|4000|270|3100|630|1200000|296|4100|20|126|2
31012021|31|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3962|266|2999|697|1200000|296|4100|20|126|2
30012021|30|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3905|262|2901|742|1200000|296|4100|20|126|2
29012021|29|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3853|262|2862|729|1200000|296|4100|20|126|2
28012021|28|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3801|260|2760|781|1200000|296|4100|20|126|2
27012021|27|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3755|259|2680|816|1200000|296|4100|20|126|2
26012021|26|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3709|258|2650|801|1200000|296|4100|20|126|2
25012021|25|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3660|254|2623|783|1200000|296|4100|20|126|2
24012021|24|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3616|251|2593|772|1200000|296|4100|20|126|2
23012021|23|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3573|249|2562|762|1200000|296|4100|20|126|2
22012021|22|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3535|246|2537|752|1200000|296|4100|20|126|2
21012021|21|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3497|242|2509|746|1200000|296|4100|20|126|2
20012021|20|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3460|241|2480|739|1200000|296|4100|20|126|2
19012021|19|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3426|240|2454|732|1200000|296|4100|20|126|2
18012021|18|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3399|239|2431|729|1200000|296|4100|20|126|2
17012021|17|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3363|235|2409|719|1200000|296|4100|20|126|2
16012021|16|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3328|233|2388|707|1200000|296|4100|20|126|2
15012021|15|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3295|231|2371|693|1200000|296|4100|20|126|2
14012021|14|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3259|227|2347|685|1200000|296|4100|20|126|2
13012021|13|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3224|226|2325|673|1200000|296|4100|20|126|2
12012021|12|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3184|222|2304|658|1200000|296|4100|20|126|2
11012021|11|01|2021|224|19|Lampung|Kota Bandar Lampung|Kota Bandar Lampung|3166|218|2270|678|1200000|296|4100|20|126|2
