date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
08082021|08|08|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
07082021|07|08|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
06082021|06|08|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
05082021|05|08|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
04082021|04|08|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
03082021|03|08|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
02082021|02|08|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
01082021|01|08|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
31072021|31|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
30072021|30|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
29072021|29|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
28072021|28|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
27072021|27|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
26072021|26|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
25072021|25|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
24072021|24|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
23072021|23|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
22072021|22|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
21072021|21|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
20072021|20|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
19072021|19|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
18072021|18|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
17072021|17|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
16072021|16|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
15072021|15|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
14072021|14|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
13072021|13|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
12072021|12|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
11072021|11|07|2021|249|21|Maluku Utara|Kab. Halmahera Barat|Halmahera Barat|136|13|122|1|137000|1704.2|80|8|169|139
