date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
22052021|22|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3913||388000|298.6|1299|5|50|1
21052021|21|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3913||388000|298.6|1299|5|50|1
20052021|20|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3913||388000|298.6|1299|5|50|1
19052021|19|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3913||388000|298.6|1299|5|50|1
18052021|18|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3913||388000|298.6|1299|5|50|1
17052021|17|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3913||388000|298.6|1299|5|50|1
16052021|16|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3913||388000|298.6|1299|5|50|1
15052021|15|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3913||388000|298.6|1299|5|50|1
14052021|14|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3913||388000|298.6|1299|5|50|1
13052021|13|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
12052021|12|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
11052021|11|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
10052021|10|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
09052021|09|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
08052021|08|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
07052021|07|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
06052021|06|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
05052021|05|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
04052021|04|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
03052021|03|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
02052021|02|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3905|8|388000|298.6|1299|5|50|1
01052021|01|05|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
30042021|30|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
29042021|29|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
28042021|28|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
27042021|27|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
26042021|26|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
25042021|25|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
24042021|24|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
23042021|23|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
22042021|22|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
21042021|21|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
20042021|20|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
19042021|19|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
18042021|18|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
17042021|17|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
16042021|16|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
15042021|15|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
14042021|14|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
13042021|13|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
12042021|12|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
11042021|11|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
10042021|10|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
09042021|09|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
08042021|08|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
07042021|07|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
06042021|06|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
05042021|05|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
04042021|04|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
03042021|03|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
02042021|02|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
01042021|01|04|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
31032021|31|03|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
30032021|30|03|2021|238|20|Maluku|Kota Ambon|Kota Ambon|3962|49|3696|217|388000|298.6|1299|5|50|1
