date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
21072021|21|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|384||155|229|217000|2864.6|76|17|175|17
20072021|20|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|384||150|234|217000|2864.6|76|17|175|17
19072021|19|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|384||146|238|217000|2864.6|76|17|175|17
18072021|18|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|384||144|240|217000|2864.6|76|17|175|17
17072021|17|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|384||143|241|217000|2864.6|76|17|175|17
16072021|16|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|384||141|243|217000|2864.6|76|17|175|17
15072021|15|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|347||140|207|217000|2864.6|76|17|175|17
14072021|14|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|347||140|207|217000|2864.6|76|17|175|17
13072021|13|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|347||139|208|217000|2864.6|76|17|175|17
12072021|12|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|345||139|206|217000|2864.6|76|17|175|17
11072021|11|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|345||138|207|217000|2864.6|76|17|175|17
10072021|10|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|345||137|208|217000|2864.6|76|17|175|17
09072021|09|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|288||136|152|217000|2864.6|76|17|175|17
08072021|08|07|2021|291|23|Nusa Tenggara Timur (NTT)|Kab. Alor|Alor|288||136|152|217000|2864.6|76|17|175|17
