date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
11042021|11|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|89||87000|14320|6|17|149|515
10042021|10|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|88|1|87000|14320|6|17|149|515
09042021|09|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|88|1|87000|14320|6|17|149|515
08042021|08|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|88|1|87000|14320|6|17|149|515
07042021|07|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|88|1|87000|14320|6|17|149|515
06042021|06|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|86|3|87000|14320|6|17|149|515
05042021|05|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|86|3|87000|14320|6|17|149|515
04042021|04|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|85|4|87000|14320|6|17|149|515
03042021|03|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|85|4|87000|14320|6|17|149|515
02042021|02|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|85|4|87000|14320|6|17|149|515
01042021|01|04|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|85|4|87000|14320|6|17|149|515
31032021|31|03|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|85|4|87000|14320|6|17|149|515
30032021|30|03|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|85|4|87000|14320|6|17|149|515
29032021|29|03|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|85|4|87000|14320|6|17|149|515
28032021|28|03|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|85|4|87000|14320|6|17|149|515
27032021|27|03|2021|341|25|Papua Barat|Kab. Fakfak|Fakfak|99|10|85|4|87000|14320|6|17|149|515
