date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
29082021|29|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8426|341|7576|509|555000|6975.4|79|11|155|18
28082021|28|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8397|336|7512|549|555000|6975.4|79|11|155|18
27082021|27|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8364|331|7445|588|555000|6975.4|79|11|155|18
26082021|26|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8334|326|7422|586|555000|6975.4|79|11|155|18
25082021|25|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8300|318|7377|605|555000|6975.4|79|11|155|18
24082021|24|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8260|310|7301|649|555000|6975.4|79|11|155|18
23082021|23|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8230|309|7224|697|555000|6975.4|79|11|155|18
22082021|22|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8201|304|7147|750|555000|6975.4|79|11|155|18
21082021|21|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8156|302|7102|752|555000|6975.4|79|11|155|18
20082021|20|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8118|300|7020|798|555000|6975.4|79|11|155|18
19082021|19|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|8035|295|6920|820|555000|6975.4|79|11|155|18
18082021|18|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7969|290|6872|807|555000|6975.4|79|11|155|18
17082021|17|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7913|288|6791|834|555000|6975.4|79|11|155|18
16082021|16|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7856|286|6655|915|555000|6975.4|79|11|155|18
15082021|15|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7805|282|6465|1058|555000|6975.4|79|11|155|18
14082021|14|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7741|274|6390|1077|555000|6975.4|79|11|155|18
13082021|13|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7676|272|6321|1083|555000|6975.4|79|11|155|18
12082021|12|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7596|269|6286|1041|555000|6975.4|79|11|155|18
11082021|11|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7539|266|6211|1062|555000|6975.4|79|11|155|18
10082021|10|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7451|264|6136|1051|555000|6975.4|79|11|155|18
09082021|09|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7360|251|5974|1135|555000|6975.4|79|11|155|18
08082021|08|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7316|249|5813|1254|555000|6975.4|79|11|155|18
07082021|07|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7231|248|5685|1298|555000|6975.4|79|11|155|18
06082021|06|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|7126|247|5586|1293|555000|6975.4|79|11|155|18
05082021|05|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|6893|246|5432|1215|555000|6975.4|79|11|155|18
04082021|04|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|6817|244|5253|1320|555000|6975.4|79|11|155|18
03082021|03|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|6694|241|5247|1206|555000|6975.4|79|11|155|18
02082021|02|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|6601|240|5142|1219|555000|6975.4|79|11|155|18
01082021|01|08|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|6498|235|5058|1205|555000|6975.4|79|11|155|18
31072021|31|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|6409|233|4969|1207|555000|6975.4|79|11|155|18
30072021|30|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|6271|229|4928|1114|555000|6975.4|79|11|155|18
29072021|29|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|6105|227|4875|1003|555000|6975.4|79|11|155|18
28072021|28|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5973|223|4831|919|555000|6975.4|79|11|155|18
27072021|27|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5873|221|4808|844|555000|6975.4|79|11|155|18
26072021|26|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5702|221|4765|716|555000|6975.4|79|11|155|18
25072021|25|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5602|219|4727|656|555000|6975.4|79|11|155|18
24072021|24|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5484|217|4682|585|555000|6975.4|79|11|155|18
23072021|23|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5392|214|4647|531|555000|6975.4|79|11|155|18
22072021|22|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5313|214|4607|492|555000|6975.4|79|11|155|18
21072021|21|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5252|210|4565|477|555000|6975.4|79|11|155|18
20072021|20|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5192|208|4553|431|555000|6975.4|79|11|155|18
19072021|19|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5135|205|4510|420|555000|6975.4|79|11|155|18
18072021|18|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5090|200|4468|422|555000|6975.4|79|11|155|18
17072021|17|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5060|197|4431|432|555000|6975.4|79|11|155|18
16072021|16|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|5015|193|4399|423|555000|6975.4|79|11|155|18
15072021|15|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4970|192|4369|409|555000|6975.4|79|11|155|18
14072021|14|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4909|190|4345|374|555000|6975.4|79|11|155|18
13072021|13|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4864|189|4314|361|555000|6975.4|79|11|155|18
12072021|12|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4825|188|4297|340|555000|6975.4|79|11|155|18
11072021|11|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4804|186|4263|355|555000|6975.4|79|11|155|18
10072021|10|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4769|186|4231|352|555000|6975.4|79|11|155|18
09072021|09|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4721|185|4221|315|555000|6975.4|79|11|155|18
08072021|08|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4673|182|4203|288|555000|6975.4|79|11|155|18
07072021|07|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4632|181|4189|262|555000|6975.4|79|11|155|18
06072021|06|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4593|180|4181|232|555000|6975.4|79|11|155|18
05072021|05|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4561|179|4166|216|555000|6975.4|79|11|155|18
04072021|04|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4538|177|4148|213|555000|6975.4|79|11|155|18
03072021|03|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4509|177|4131|201|555000|6975.4|79|11|155|18
02072021|02|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4489|175|4122|192|555000|6975.4|79|11|155|18
01072021|01|07|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4451|175|4104|172|555000|6975.4|79|11|155|18
30062021|30|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4417|175|4091|151|555000|6975.4|79|11|155|18
29062021|29|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4406|174|4080|152|555000|6975.4|79|11|155|18
28062021|28|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4393|173|4072|148|555000|6975.4|79|11|155|18
27062021|27|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4381|173|4051|157|555000|6975.4|79|11|155|18
26062021|26|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4372|173|4035|164|555000|6975.4|79|11|155|18
25062021|25|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4354|170|4016|168|555000|6975.4|79|11|155|18
24062021|24|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4336|168|4011|157|555000|6975.4|79|11|155|18
23062021|23|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4315|168|4001|146|555000|6975.4|79|11|155|18
22062021|22|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4307|167|3984|156|555000|6975.4|79|11|155|18
21062021|21|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4292|167|3956|169|555000|6975.4|79|11|155|18
20062021|20|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4281|167|3930|184|555000|6975.4|79|11|155|18
19062021|19|06|2021|352|26|Riau|Kab. Bengkalis|Bengkalis|4266|166|3901|199|555000|6975.4|79|11|155|18
