date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
19052021|19|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|587|19|567|1|172000|947.8|181|8|82|3
18052021|18|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|587|19|567|1|172000|947.8|181|8|82|3
17052021|17|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
16052021|16|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
15052021|15|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
14052021|14|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
13052021|13|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
12052021|12|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
11052021|11|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
10052021|10|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
09052021|09|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
08052021|08|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
07052021|07|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|567||172000|947.8|181|8|82|3
06052021|06|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|563|4|172000|947.8|181|8|82|3
05052021|05|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|563|4|172000|947.8|181|8|82|3
04052021|04|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|563|4|172000|947.8|181|8|82|3
03052021|03|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|563|4|172000|947.8|181|8|82|3
02052021|02|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|563|4|172000|947.8|181|8|82|3
01052021|01|05|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|563|4|172000|947.8|181|8|82|3
30042021|30|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|563|4|172000|947.8|181|8|82|3
29042021|29|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|563|4|172000|947.8|181|8|82|3
28042021|28|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|586|19|563|4|172000|947.8|181|8|82|3
27042021|27|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|562|4|172000|947.8|181|8|82|3
26042021|26|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|562|4|172000|947.8|181|8|82|3
25042021|25|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|562|4|172000|947.8|181|8|82|3
24042021|24|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|562|4|172000|947.8|181|8|82|3
23042021|23|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|561|5|172000|947.8|181|8|82|3
22042021|22|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|561|5|172000|947.8|181|8|82|3
21042021|21|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|561|5|172000|947.8|181|8|82|3
20042021|20|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|560|6|172000|947.8|181|8|82|3
19042021|19|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|560|6|172000|947.8|181|8|82|3
18042021|18|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|560|6|172000|947.8|181|8|82|3
17042021|17|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|556|10|172000|947.8|181|8|82|3
16042021|16|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|556|10|172000|947.8|181|8|82|3
15042021|15|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|556|10|172000|947.8|181|8|82|3
14042021|14|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|556|10|172000|947.8|181|8|82|3
13042021|13|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|556|10|172000|947.8|181|8|82|3
12042021|12|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|585|19|556|10|172000|947.8|181|8|82|3
11042021|11|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|584|19|556|9|172000|947.8|181|8|82|3
10042021|10|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|584|19|556|9|172000|947.8|181|8|82|3
09042021|09|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|584|19|556|9|172000|947.8|181|8|82|3
08042021|08|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|584|19|552|13|172000|947.8|181|8|82|3
07042021|07|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|584|19|552|13|172000|947.8|181|8|82|3
06042021|06|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|583|19|552|12|172000|947.8|181|8|82|3
05042021|05|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|583|19|546|18|172000|947.8|181|8|82|3
04042021|04|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|583|19|546|18|172000|947.8|181|8|82|3
03042021|03|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|582|19|545|18|172000|947.8|181|8|82|3
02042021|02|04|2021|363|27|Sulawesi Barat|Kab. Majene|Majene|582|19|545|18|172000|947.8|181|8|82|3
