date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
26042021|26|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1248|42|1184|22|371000|9672.700000000001|38|23|337|41
25042021|25|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1248|42|1184|22|371000|9672.700000000001|38|23|337|41
24042021|24|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1247|42|1182|23|371000|9672.700000000001|38|23|337|41
23042021|23|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1247|42|1182|23|371000|9672.700000000001|38|23|337|41
22042021|22|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1247|42|1182|23|371000|9672.700000000001|38|23|337|41
21042021|21|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1247|42|1179|26|371000|9672.700000000001|38|23|337|41
20042021|20|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1247|42|1179|26|371000|9672.700000000001|38|23|337|41
19042021|19|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1243|42|1179|22|371000|9672.700000000001|38|23|337|41
18042021|18|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1242|42|1178|22|371000|9672.700000000001|38|23|337|41
17042021|17|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1242|42|1174|26|371000|9672.700000000001|38|23|337|41
16042021|16|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1242|42|1174|26|371000|9672.700000000001|38|23|337|41
15042021|15|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1242|42|1172|28|371000|9672.700000000001|38|23|337|41
14042021|14|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1241|42|1172|27|371000|9672.700000000001|38|23|337|41
13042021|13|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1239|42|1167|30|371000|9672.700000000001|38|23|337|41
12042021|12|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1236|42|1167|27|371000|9672.700000000001|38|23|337|41
11042021|11|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1233|42|1159|32|371000|9672.700000000001|38|23|337|41
10042021|10|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1232|42|1159|31|371000|9672.700000000001|38|23|337|41
09042021|09|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1232|42|1159|31|371000|9672.700000000001|38|23|337|41
08042021|08|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1230|42|1157|31|371000|9672.700000000001|38|23|337|41
07042021|07|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1229|42|1157|30|371000|9672.700000000001|38|23|337|41
06042021|06|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1227|42|1153|32|371000|9672.700000000001|38|23|337|41
05042021|05|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1226|42|1153|31|371000|9672.700000000001|38|23|337|41
04042021|04|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1226|42|1153|31|371000|9672.700000000001|38|23|337|41
03042021|03|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1224|42|1153|29|371000|9672.700000000001|38|23|337|41
02042021|02|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1224|42|1151|31|371000|9672.700000000001|38|23|337|41
01042021|01|04|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1220|42|1150|28|371000|9672.700000000001|38|23|337|41
31032021|31|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1216|42|1150|24|371000|9672.700000000001|38|23|337|41
30032021|30|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1216|42|1150|24|371000|9672.700000000001|38|23|337|41
29032021|29|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1215|42|1147|26|371000|9672.700000000001|38|23|337|41
28032021|28|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1215|42|1143|30|371000|9672.700000000001|38|23|337|41
27032021|27|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1211|42|1137|32|371000|9672.700000000001|38|23|337|41
26032021|26|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1211|42|1136|33|371000|9672.700000000001|38|23|337|41
25032021|25|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1208|42|1134|32|371000|9672.700000000001|38|23|337|41
24032021|24|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1208|42|1132|34|371000|9672.700000000001|38|23|337|41
23032021|23|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1203|42|1132|29|371000|9672.700000000001|38|23|337|41
22032021|22|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1198|41|1123|34|371000|9672.700000000001|38|23|337|41
21032021|21|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1198|41|1123|34|371000|9672.700000000001|38|23|337|41
20032021|20|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1197|41|1123|33|371000|9672.700000000001|38|23|337|41
19032021|19|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1196|41|1118|37|371000|9672.700000000001|38|23|337|41
18032021|18|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1196|41|1118|37|371000|9672.700000000001|38|23|337|41
17032021|17|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1195|41|1116|38|371000|9672.700000000001|38|23|337|41
16032021|16|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1192|41|1116|35|371000|9672.700000000001|38|23|337|41
15032021|15|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1189|41|1112|36|371000|9672.700000000001|38|23|337|41
14032021|14|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1189|39|1100|50|371000|9672.700000000001|38|23|337|41
13032021|13|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1186|39|1089|58|371000|9672.700000000001|38|23|337|41
12032021|12|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1178|39|1084|55|371000|9672.700000000001|38|23|337|41
11032021|11|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1178|39|1084|55|371000|9672.700000000001|38|23|337|41
10032021|10|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1178|39|1084|55|371000|9672.700000000001|38|23|337|41
09032021|09|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1175|38|1084|53|371000|9672.700000000001|38|23|337|41
08032021|08|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1171|38|1059|74|371000|9672.700000000001|38|23|337|41
07032021|07|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1166|38|1059|69|371000|9672.700000000001|38|23|337|41
06032021|06|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1166|38|1059|69|371000|9672.700000000001|38|23|337|41
05032021|05|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1163|38|1059|66|371000|9672.700000000001|38|23|337|41
04032021|04|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1163|38|1056|69|371000|9672.700000000001|38|23|337|41
03032021|03|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1163|38|1056|69|371000|9672.700000000001|38|23|337|41
02032021|02|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1144|38|1040|66|371000|9672.700000000001|38|23|337|41
01032021|01|03|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1144|37|1037|70|371000|9672.700000000001|38|23|337|41
28022021|28|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1138|37|1027|74|371000|9672.700000000001|38|23|337|41
27022021|27|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1137|37|1027|73|371000|9672.700000000001|38|23|337|41
26022021|26|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1137|37|1027|73|371000|9672.700000000001|38|23|337|41
25022021|25|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1119|36|1019|64|371000|9672.700000000001|38|23|337|41
24022021|24|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1105|36|1012|57|371000|9672.700000000001|38|23|337|41
23022021|23|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1100|36|1012|52|371000|9672.700000000001|38|23|337|41
22022021|22|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1100|36|1012|52|371000|9672.700000000001|38|23|337|41
21022021|21|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1096|36|1012|48|371000|9672.700000000001|38|23|337|41
20022021|20|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1096|35|1012|49|371000|9672.700000000001|38|23|337|41
19022021|19|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1086|35|982|69|371000|9672.700000000001|38|23|337|41
18022021|18|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1085|35|982|68|371000|9672.700000000001|38|23|337|41
17022021|17|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1079|34|976|69|371000|9672.700000000001|38|23|337|41
16022021|16|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1070|34|946|90|371000|9672.700000000001|38|23|337|41
15022021|15|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1070|34|946|90|371000|9672.700000000001|38|23|337|41
14022021|14|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1067|34|941|92|371000|9672.700000000001|38|23|337|41
13022021|13|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1067|34|898|135|371000|9672.700000000001|38|23|337|41
12022021|12|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1064|34|898|132|371000|9672.700000000001|38|23|337|41
11022021|11|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1064|34|898|132|371000|9672.700000000001|38|23|337|41
10022021|10|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1060|34|898|128|371000|9672.700000000001|38|23|337|41
09022021|09|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1052|34|859|159|371000|9672.700000000001|38|23|337|41
08022021|08|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1041|34|859|148|371000|9672.700000000001|38|23|337|41
07022021|07|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1039|34|842|163|371000|9672.700000000001|38|23|337|41
06022021|06|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|1036|34|776|226|371000|9672.700000000001|38|23|337|41
05022021|05|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|991|34|776|181|371000|9672.700000000001|38|23|337|41
04022021|04|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|985|34|763|188|371000|9672.700000000001|38|23|337|41
03022021|03|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|941|33|763|145|371000|9672.700000000001|38|23|337|41
02022021|02|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|892|32|736|124|371000|9672.700000000001|38|23|337|41
01022021|01|02|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|857|32|735|90|371000|9672.700000000001|38|23|337|41
31012021|31|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|846|32|696|118|371000|9672.700000000001|38|23|337|41
30012021|30|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|837|32|668|137|371000|9672.700000000001|38|23|337|41
29012021|29|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|837|32|668|137|371000|9672.700000000001|38|23|337|41
28012021|28|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|835|32|668|135|371000|9672.700000000001|38|23|337|41
27012021|27|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|782|31|664|87|371000|9672.700000000001|38|23|337|41
26012021|26|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|779|31|628|120|371000|9672.700000000001|38|23|337|41
25012021|25|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|695|29|616|50|371000|9672.700000000001|38|23|337|41
24012021|24|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|694|29|600|65|371000|9672.700000000001|38|23|337|41
23012021|23|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|665|28|590|47|371000|9672.700000000001|38|23|337|41
22012021|22|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|664|28|589|47|371000|9672.700000000001|38|23|337|41
21012021|21|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|656|28|577|51|371000|9672.700000000001|38|23|337|41
20012021|20|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|654|28|557|69|371000|9672.700000000001|38|23|337|41
19012021|19|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|648|28|537|83|371000|9672.700000000001|38|23|337|41
18012021|18|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|646|28|507|111|371000|9672.700000000001|38|23|337|41
17012021|17|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|646|28|507|111|371000|9672.700000000001|38|23|337|41
16012021|16|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|635|26|507|102|371000|9672.700000000001|38|23|337|41
15012021|15|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|635|26|452|157|371000|9672.700000000001|38|23|337|41
14012021|14|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|612|26|452|134|371000|9672.700000000001|38|23|337|41
13012021|13|01|2021|392|29|Sulawesi Tengah|Kab. Banggai|Banggai|610|26|450|134|371000|9672.700000000001|38|23|337|41
