date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
10092021|10|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2181|49|2010|122|159000|221|722|8|43|3
09092021|09|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2181|49|2010|122|159000|221|722|8|43|3
08092021|08|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2181|49|2010|122|159000|221|722|8|43|3
07092021|07|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2181|49|2010|122|159000|221|722|8|43|3
06092021|06|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2181|49|2010|122|159000|221|722|8|43|3
05092021|05|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2181|49|2010|122|159000|221|722|8|43|3
04092021|04|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2180|49|2006|125|159000|221|722|8|43|3
03092021|03|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2180|49|2006|125|159000|221|722|8|43|3
02092021|02|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2180|49|2006|125|159000|221|722|8|43|3
01092021|01|09|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2178|49|2006|123|159000|221|722|8|43|3
31082021|31|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2173|48|2004|121|159000|221|722|8|43|3
30082021|30|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2173|48|2004|121|159000|221|722|8|43|3
29082021|29|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2171|48|2001|122|159000|221|722|8|43|3
28082021|28|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2171|48|2001|122|159000|221|722|8|43|3
27082021|27|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2171|48|1990|133|159000|221|722|8|43|3
26082021|26|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2171|48|1990|133|159000|221|722|8|43|3
25082021|25|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2171|48|1990|133|159000|221|722|8|43|3
24082021|24|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2171|48|1990|133|159000|221|722|8|43|3
23082021|23|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2170|48|1988|134|159000|221|722|8|43|3
22082021|22|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2162|48|1980|134|159000|221|722|8|43|3
21082021|21|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2162|48|1980|134|159000|221|722|8|43|3
20082021|20|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2162|48|1980|134|159000|221|722|8|43|3
19082021|19|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2161|47|1975|139|159000|221|722|8|43|3
18082021|18|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2088|47|1903|138|159000|221|722|8|43|3
17082021|17|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2080|47|1891|142|159000|221|722|8|43|3
16082021|16|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2080|47|1891|142|159000|221|722|8|43|3
15082021|15|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2078|46|1861|171|159000|221|722|8|43|3
14082021|14|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2078|46|1861|171|159000|221|722|8|43|3
13082021|13|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2075|46|1861|168|159000|221|722|8|43|3
12082021|12|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2068|45|1836|187|159000|221|722|8|43|3
11082021|11|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2060|45|1830|185|159000|221|722|8|43|3
10082021|10|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2058|44|1809|205|159000|221|722|8|43|3
09082021|09|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2048|44|1797|207|159000|221|722|8|43|3
08082021|08|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2037|44|1789|204|159000|221|722|8|43|3
07082021|07|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2036|42|1789|205|159000|221|722|8|43|3
06082021|06|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|2032|42|1760|230|159000|221|722|8|43|3
05082021|05|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1992|42|1746|204|159000|221|722|8|43|3
04082021|04|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1978|42|1727|209|159000|221|722|8|43|3
03082021|03|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1961|41|1645|275|159000|221|722|8|43|3
02082021|02|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1912|41|1615|256|159000|221|722|8|43|3
01082021|01|08|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1899|38|1600|261|159000|221|722|8|43|3
31072021|31|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1899|38|1600|261|159000|221|722|8|43|3
30072021|30|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1894|37|1593|264|159000|221|722|8|43|3
29072021|29|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1888|36|1570|282|159000|221|722|8|43|3
28072021|28|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1874|34|1564|276|159000|221|722|8|43|3
27072021|27|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1865|34|1542|289|159000|221|722|8|43|3
26072021|26|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1817|34|1532|251|159000|221|722|8|43|3
25072021|25|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
24072021|24|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
23072021|23|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
22072021|22|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
21072021|21|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
20072021|20|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
19072021|19|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
18072021|18|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
17072021|17|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
16072021|16|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
15072021|15|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
14072021|14|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
13072021|13|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
12072021|12|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
11072021|11|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
10072021|10|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
09072021|09|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
08072021|08|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
07072021|07|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
06072021|06|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1400|30|1196|174|159000|221|722|8|43|3
05072021|05|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1363|30|1196|137|159000|221|722|8|43|3
04072021|04|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1362|30|1196|136|159000|221|722|8|43|3
03072021|03|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1360|30|1175|155|159000|221|722|8|43|3
02072021|02|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1330|30|1175|125|159000|221|722|8|43|3
01072021|01|07|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1300|30|1175|95|159000|221|722|8|43|3
30062021|30|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1289|30|1175|84|159000|221|722|8|43|3
29062021|29|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1283|30|1175|78|159000|221|722|8|43|3
28062021|28|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1282|30|1175|77|159000|221|722|8|43|3
27062021|27|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1277|30|1175|72|159000|221|722|8|43|3
26062021|26|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1263|30|1174|59|159000|221|722|8|43|3
25062021|25|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1263|30|1174|59|159000|221|722|8|43|3
24062021|24|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1263|29|1171|63|159000|221|722|8|43|3
23062021|23|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1243|29|1171|43|159000|221|722|8|43|3
22062021|22|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1219|29|1160|30|159000|221|722|8|43|3
21062021|21|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1219|29|1160|30|159000|221|722|8|43|3
20062021|20|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1219|29|1160|30|159000|221|722|8|43|3
19062021|19|06|2021|403|30|Sulawesi Tenggara|Kota Bau-Bau|Kota Bau-Bau|1219|29|1160|30|159000|221|722|8|43|3
