date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
15082021|15|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2613|53|2335|225|228000|302.9|754|8|69|20
14082021|14|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2602|53|2261|288|228000|302.9|754|8|69|20
13082021|13|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2577|53|2261|263|228000|302.9|754|8|69|20
12082021|12|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2558|53|2221|284|228000|302.9|754|8|69|20
11082021|11|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2545|53|2221|271|228000|302.9|754|8|69|20
10082021|10|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2521|53|2180|288|228000|302.9|754|8|69|20
09082021|09|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2472|53|2170|249|228000|302.9|754|8|69|20
08082021|08|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2472|52|2083|337|228000|302.9|754|8|69|20
07082021|07|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2436|52|1919|465|228000|302.9|754|8|69|20
06082021|06|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2240|52|1919|269|228000|302.9|754|8|69|20
05082021|05|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2203|52|1900|251|228000|302.9|754|8|69|20
04082021|04|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2195|52|1885|258|228000|302.9|754|8|69|20
03082021|03|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2186|50|1874|262|228000|302.9|754|8|69|20
02082021|02|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2124|49|1842|233|228000|302.9|754|8|69|20
01082021|01|08|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2101|49|1753|299|228000|302.9|754|8|69|20
31072021|31|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2095|49|1648|398|228000|302.9|754|8|69|20
30072021|30|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|2049|47|1598|404|228000|302.9|754|8|69|20
29072021|29|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1951|44|1598|309|228000|302.9|754|8|69|20
28072021|28|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1938|44|1598|296|228000|302.9|754|8|69|20
27072021|27|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1932|43|1523|366|228000|302.9|754|8|69|20
26072021|26|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1909|42|1489|378|228000|302.9|754|8|69|20
25072021|25|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1901|42|1489|370|228000|302.9|754|8|69|20
24072021|24|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1841|41|1489|311|228000|302.9|754|8|69|20
23072021|23|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1826|41|1338|447|228000|302.9|754|8|69|20
22072021|22|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1793|41|1338|414|228000|302.9|754|8|69|20
21072021|21|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1756|41|1338|377|228000|302.9|754|8|69|20
20072021|20|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1722|41|1338|343|228000|302.9|754|8|69|20
19072021|19|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1634|41|1301|292|228000|302.9|754|8|69|20
18072021|18|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1631|41|1282|308|228000|302.9|754|8|69|20
17072021|17|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1614|41|1268|305|228000|302.9|754|8|69|20
16072021|16|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1600|40|1268|292|228000|302.9|754|8|69|20
15072021|15|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1534|40|1268|226|228000|302.9|754|8|69|20
14072021|14|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1481|40|1242|199|228000|302.9|754|8|69|20
13072021|13|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1462|40|1242|180|228000|302.9|754|8|69|20
12072021|12|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1462|40|1242|180|228000|302.9|754|8|69|20
11072021|11|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1452|39|1242|171|228000|302.9|754|8|69|20
10072021|10|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1450|39|1242|169|228000|302.9|754|8|69|20
09072021|09|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1407|39|1242|126|228000|302.9|754|8|69|20
08072021|08|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1395|37|1241|117|228000|302.9|754|8|69|20
07072021|07|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1361|37|1241|83|228000|302.9|754|8|69|20
06072021|06|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1352|37|1240|75|228000|302.9|754|8|69|20
05072021|05|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1343|37|1237|69|228000|302.9|754|8|69|20
04072021|04|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1342|37|1237|68|228000|302.9|754|8|69|20
03072021|03|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1337|37|1237|63|228000|302.9|754|8|69|20
02072021|02|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1332|37|1237|58|228000|302.9|754|8|69|20
01072021|01|07|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1325|37|1232|56|228000|302.9|754|8|69|20
30062021|30|06|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1318|37|1232|49|228000|302.9|754|8|69|20
29062021|29|06|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1301|37|1232|32|228000|302.9|754|8|69|20
28062021|28|06|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1296|37|1232|27|228000|302.9|754|8|69|20
27062021|27|06|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1292|37|1232|23|228000|302.9|754|8|69|20
26062021|26|06|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1290|37|1232|21|228000|302.9|754|8|69|20
25062021|25|06|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1282|36|1232|14|228000|302.9|754|8|69|20
24062021|24|06|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1278|36|1232|10|228000|302.9|754|8|69|20
23062021|23|06|2021|415|31|Sulawesi Utara|Kota Bitung|Kota Bitung|1278|36|1232|10|228000|302.9|754|8|69|20
