date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
15082021|15|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2913|142|2237|534|830000|11833|70|19|304|20
14082021|14|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2903|140|2117|646|830000|11833|70|19|304|20
13082021|13|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2864|139|2063|662|830000|11833|70|19|304|20
12082021|12|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2767|137|1997|633|830000|11833|70|19|304|20
11082021|11|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2753|134|1952|667|830000|11833|70|19|304|20
10082021|10|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2675|131|1932|612|830000|11833|70|19|304|20
09082021|09|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2588|128|1880|580|830000|11833|70|19|304|20
08082021|08|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2563|125|1842|596|830000|11833|70|19|304|20
07082021|07|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2534|122|1789|623|830000|11833|70|19|304|20
06082021|06|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2472|119|1744|609|830000|11833|70|19|304|20
05082021|05|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2377|117|1725|535|830000|11833|70|19|304|20
04082021|04|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2258|116|1684|458|830000|11833|70|19|304|20
03082021|03|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2215|113|1657|445|830000|11833|70|19|304|20
02082021|02|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2136|111|1641|384|830000|11833|70|19|304|20
01082021|01|08|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2127|110|1593|424|830000|11833|70|19|304|20
31072021|31|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2090|110|1574|406|830000|11833|70|19|304|20
30072021|30|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|2020|110|1551|359|830000|11833|70|19|304|20
29072021|29|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1983|109|1529|345|830000|11833|70|19|304|20
28072021|28|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1935|107|1509|319|830000|11833|70|19|304|20
27072021|27|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1864|105|1480|279|830000|11833|70|19|304|20
26072021|26|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1828|103|1448|277|830000|11833|70|19|304|20
25072021|25|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1806|102|1433|271|830000|11833|70|19|304|20
24072021|24|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1799|100|1394|305|830000|11833|70|19|304|20
23072021|23|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1752|98|1366|288|830000|11833|70|19|304|20
22072021|22|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1727|96|1348|283|830000|11833|70|19|304|20
21072021|21|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1672|95|1340|237|830000|11833|70|19|304|20
20072021|20|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1656|93|1328|235|830000|11833|70|19|304|20
19072021|19|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1638|93|1311|234|830000|11833|70|19|304|20
18072021|18|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1621|93|1297|231|830000|11833|70|19|304|20
17072021|17|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1600|90|1276|234|830000|11833|70|19|304|20
16072021|16|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1568|90|1270|208|830000|11833|70|19|304|20
15072021|15|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1552|88|1270|194|830000|11833|70|19|304|20
14072021|14|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1505|86|1267|152|830000|11833|70|19|304|20
13072021|13|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1428|86|1244|98|830000|11833|70|19|304|20
12072021|12|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1428|86|1244|98|830000|11833|70|19|304|20
11072021|11|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1388|86|1238|64|830000|11833|70|19|304|20
10072021|10|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1388|86|1238|64|830000|11833|70|19|304|20
09072021|09|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1378|86|1238|54|830000|11833|70|19|304|20
08072021|08|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1366|86|1238|42|830000|11833|70|19|304|20
07072021|07|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1361|86|1230|45|830000|11833|70|19|304|20
06072021|06|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1357|86|1230|41|830000|11833|70|19|304|20
05072021|05|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1354|86|1225|43|830000|11833|70|19|304|20
04072021|04|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1353|86|1225|42|830000|11833|70|19|304|20
03072021|03|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1348|86|1224|38|830000|11833|70|19|304|20
02072021|02|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1345|86|1216|43|830000|11833|70|19|304|20
01072021|01|07|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1340|86|1216|38|830000|11833|70|19|304|20
30062021|30|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1335|85|1216|34|830000|11833|70|19|304|20
29062021|29|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1331|85|1210|36|830000|11833|70|19|304|20
28062021|28|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1328|84|1206|38|830000|11833|70|19|304|20
27062021|27|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1322|84|1205|33|830000|11833|70|19|304|20
26062021|26|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1313|83|1205|25|830000|11833|70|19|304|20
25062021|25|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1311|83|1205|23|830000|11833|70|19|304|20
24062021|24|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1303|82|1201|20|830000|11833|70|19|304|20
23062021|23|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1301|81|1183|37|830000|11833|70|19|304|20
22062021|22|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1298|78|1179|41|830000|11833|70|19|304|20
21062021|21|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1295|78|1171|46|830000|11833|70|19|304|20
20062021|20|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1293|78|1166|49|830000|11833|70|19|304|20
19062021|19|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1291|78|1165|48|830000|11833|70|19|304|20
18062021|18|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1288|78|1158|52|830000|11833|70|19|304|20
17062021|17|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1285|78|1155|52|830000|11833|70|19|304|20
16062021|16|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1281|78|1153|50|830000|11833|70|19|304|20
15062021|15|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1280|78|1136|66|830000|11833|70|19|304|20
14062021|14|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1277|77|1124|76|830000|11833|70|19|304|20
13062021|13|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1273|76|1119|78|830000|11833|70|19|304|20
12062021|12|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1273|76|1117|80|830000|11833|70|19|304|20
11062021|11|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1250|75|1117|58|830000|11833|70|19|304|20
10062021|10|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1242|75|1111|56|830000|11833|70|19|304|20
09062021|09|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1238|74|1105|59|830000|11833|70|19|304|20
08062021|08|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1228|74|1098|56|830000|11833|70|19|304|20
07062021|07|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1225|74|1089|62|830000|11833|70|19|304|20
06062021|06|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1223|73|1083|67|830000|11833|70|19|304|20
05062021|05|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1222|72|1083|67|830000|11833|70|19|304|20
04062021|04|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1218|72|1078|68|830000|11833|70|19|304|20
03062021|03|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1213|72|1076|65|830000|11833|70|19|304|20
02062021|02|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1209|72|1070|67|830000|11833|70|19|304|20
01062021|01|06|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1205|72|1063|70|830000|11833|70|19|304|20
31052021|31|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1198|72|1056|70|830000|11833|70|19|304|20
30052021|30|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1197|72|1055|70|830000|11833|70|19|304|20
29052021|29|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1192|70|1055|67|830000|11833|70|19|304|20
28052021|28|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1180|68|1054|58|830000|11833|70|19|304|20
27052021|27|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1178|67|1050|61|830000|11833|70|19|304|20
26052021|26|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1169|67|1047|55|830000|11833|70|19|304|20
25052021|25|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1160|67|1047|46|830000|11833|70|19|304|20
24052021|24|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1158|66|1037|55|830000|11833|70|19|304|20
23052021|23|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1156|66|1037|53|830000|11833|70|19|304|20
22052021|22|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1153|66|1022|65|830000|11833|70|19|304|20
21052021|21|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1145|66|1020|59|830000|11833|70|19|304|20
20052021|20|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1133|66|1006|61|830000|11833|70|19|304|20
19052021|19|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1128|64|1003|61|830000|11833|70|19|304|20
18052021|18|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1127|64|995|68|830000|11833|70|19|304|20
17052021|17|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1127|63|991|73|830000|11833|70|19|304|20
16052021|16|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1122|63|984|75|830000|11833|70|19|304|20
15052021|15|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1116|63|984|69|830000|11833|70|19|304|20
14052021|14|05|2021|449|33|Sumatera Selatan|Kab. Banyuasin|Banyuasin|1116|63|984|69|830000|11833|70|19|304|20
