date|day|month|year|id_district|id_province|province_name|district_name|city_name|confirmed_case|death_case|recovered_case|active_case|population|area_km2|pop_density|num_kecamatan|num_village|num_islands
07062021|07|06|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|791|26|660|105|799000|3702.2|216|25|204|1
06062021|06|06|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|789|26|660|103|799000|3702.2|216|25|204|1
05062021|05|06|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|787|26|660|101|799000|3702.2|216|25|204|1
04062021|04|06|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|785|26|660|99|799000|3702.2|216|25|204|1
03062021|03|06|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|783|26|660|97|799000|3702.2|216|25|204|1
02062021|02|06|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|781|26|660|95|799000|3702.2|216|25|204|1
01062021|01|06|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|779|26|660|93|799000|3702.2|216|25|204|1
31052021|31|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|777|26|658|93|799000|3702.2|216|25|204|1
30052021|30|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|775|26|657|92|799000|3702.2|216|25|204|1
29052021|29|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|773|26|657|90|799000|3702.2|216|25|204|1
28052021|28|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|771|26|657|88|799000|3702.2|216|25|204|1
27052021|27|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|769|26|657|86|799000|3702.2|216|25|204|1
26052021|26|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|767|26|657|84|799000|3702.2|216|25|204|1
25052021|25|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|765|26|657|82|799000|3702.2|216|25|204|1
24052021|24|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|763|26|657|80|799000|3702.2|216|25|204|1
23052021|23|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|761|26|657|78|799000|3702.2|216|25|204|1
22052021|22|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|759|26|657|76|799000|3702.2|216|25|204|1
21052021|21|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|757|26|657|74|799000|3702.2|216|25|204|1
20052021|20|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|755|26|657|72|799000|3702.2|216|25|204|1
19052021|19|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|753|26|656|71|799000|3702.2|216|25|204|1
18052021|18|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|751|26|653|72|799000|3702.2|216|25|204|1
17052021|17|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|749|26|651|72|799000|3702.2|216|25|204|1
16052021|16|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|747|26|649|72|799000|3702.2|216|25|204|1
15052021|15|05|2021|464|34|Sumatera Utara|Kab. Asahan|Asahan|745|26|647|72|799000|3702.2|216|25|204|1
