date|vaksinasi1|vaksinasi2|total_sasaran_vaksinasi|sasaran_vaksinasi_sdmk|sasaran_vaksinasi_petugas_publik|sasaran_vaksinasi_lansia|sdm_kesehatan_total_vaksinasi1|sdm_kesehatan_total_vaksinasi2|sdm_kesehatan_sudah_vaksin1|sdm_kesehatan_sudah_vaksin2|sdm_kesehatan_tertunda_vaksin1|sdm_kesehatan_tertunda_vaksin2|petugas_publik_total_vaksinasi1|petugas_publik_total_vaksinasi2|petugas_publik_sudah_vaksin1|petugas_publik_sudah_vaksin2|petugas_publik_tertunda_vaksin1|petugas_publik_tertunda_vaksin2|lansia_total_vaksinasi1|lansia_total_vaksinasi2|lansia_sudah_vaksin1|lansia_sudah_vaksin2|lansia_tertunda_vaksin1|lansia_tertunda_vaksin2
2021-02-07|784318|139131||||||||||||||||||||||
2021-02-08|814585|171270||||||||||||||||||||||
2021-02-09|845407|221453||||||||||||||||||||||
2021-02-10|969546|279251||||||||||||||||||||||
2021-02-11|1017186|345605||||||||||||||||||||||
2021-02-12|1017186|345605||||||||||||||||||||||
2021-02-13|1060326|415486||||||||||||||||||||||
2021-02-14|1068747|425578||||||||||||||||||||||
2021-02-15|1096095|482625||||||||||||||||||||||
2021-02-16|1120963|537147||||||||||||||||||||||
2021-02-17|1149939|597328||||||||||||||||||||||
2021-02-18|1164144|623832||||||||||||||||||||||
2021-02-19|1191031|668914||||||||||||||||||||||
2021-02-20|1224091|732634||||||||||||||||||||||
2021-02-21|1227918|736710||||||||||||||||||||||
2021-02-22|1244215|764905||||||||||||||||||||||
2021-02-23|1269905|789966||||||||||||||||||||||
2021-02-24|1363138|825650||||||||||||||||||||||
2021-02-25|1461920|853745||||||||||||||||||||||
2021-02-26|1583581|865870||||||||||||||||||||||
2021-02-27|1616165|982370||||||||||||||||||||||
2021-02-28|1691724|998439||||||||||||||||||||||
2021-03-01|1705239|1010028||||||||||||||||||||||
2021-03-02|1968057|1055291||||||||||||||||||||||
2021-03-03|2104967|1076409||||||||||||||||||||||
2021-03-04|2286123|1100228||||||||||||||||||||||
2021-03-05|2413615|1114537||||||||||||||||||||||
2021-03-06|2552265|1130524||||||||||||||||||||||
2021-03-07|2888757|1133787||||||||||||||||||||||
2021-03-08|3098025|1158432||||||||||||||||||||||
2021-03-09|3337026|1197772||||||||||||||||||||||
2021-03-10|3574698|1262878||||||||||||||||||||||
2021-03-11|3696059|1295615||||||||||||||||||||||
2021-03-12|3769174|1339352||||||||||||||||||||||
2021-03-13|3985596|1454836||||||||||||||||||||||
2021-03-14|4020124|1460222||||||||||||||||||||||
2021-03-15|4166862|1572786||||||||||||||||||||||
2021-03-16|4468951|1716749||||||||||||||||||||||
2021-03-17|4705248|1876140||||||||||||||||||||||
2021-03-18|4838752|1948531||||||||||||||||||||||
2021-03-19|4959063|2068400||||||||||||||||||||||
2021-03-20|5124948|2221200||||||||||||||||||||||
2021-03-21|5567280|2312601||||||||||||||||||||||
2021-03-22|5732210|2494422||||||||||||||||||||||
2021-03-23|5978251|2709545||||||||||||||||||||||
2021-03-24|6389837|2941016||||||||||||||||||||||
2021-03-25|6730456|3015190||||||||||||||||||||||
2021-03-26|6990082|3152612||||||||||||||||||||||
2021-03-27|7190663|3235027||||||||||||||||||||||
2021-03-28|7243202|3246455||||||||||||||||||||||
2021-03-29|7435851|3330639||||||||||||||||||||||
2021-03-30|7840024|3561192||||||||||||||||||||||
2021-03-31|8115714|3717081||||||||||||||||||||||
2021-04-01|8291164|3830675||||||||||||||||||||||
2021-04-02|8424729|3867762||||||||||||||||||||||
2021-04-03|8533422|3951869||||||||||||||||||||||
2021-04-04|8634321|4014803||||||||||||||||||||||
2021-04-05|8772081|4149587||||||||||||||||||||||
2021-04-06|8890024|4268222||||||||||||||||||||||
2021-04-07|9196435|4554695||||||||||||||||||||||
2021-04-08|9229638|4591089||||||||||||||||||||||
2021-04-09|9784278|4943231||||||||||||||||||||||
2021-04-10|10002901|5079048||||||||||||||||||||||
2021-04-11|10049541|5101921||||||||||||||||||||||
2021-04-12|10280073|5322501||||||||||||||||||||||
2021-04-13|10377734|5433715||||||||||||||||||||||
2021-04-14|10481905|5572859||||||||||||||||||||||
2021-04-15|10600469|5715813||||||||||||||||||||||
2021-04-16|10709628|5821888||||||||||||||||||||||
2021-04-17|10801563|5890790||||||||||||||||||||||
2021-04-18|10815649|5900242||||||||||||||||||||||
2021-04-19|10972343|6052612||||||||||||||||||||||
2021-04-20|11116253|6158748||||||||||||||||||||||
2021-04-21|11302294|6341931||||||||||||||||||||||
2021-04-22|11432711|6488197||||||||||||||||||||||
2021-04-23|11623251|6699327||||||||||||||||||||||
2021-04-24|11718546|6798241||||||||||||||||||||||
2021-04-25|11741559|6829415||||||||||||||||||||||
2021-04-26|11844579|6998304||||||||||||||||||||||
2021-04-27|12015912|7214534||||||||||||||||||||||
2021-04-22|11432711|6488197||||||||||||||||||||||
2021-04-23|11623251|6699327||||||||||||||||||||||
2021-04-24|11718546|6798241||||||||||||||||||||||
2021-04-25|11741559|6829415||||||||||||||||||||||
2021-04-26|11844579|6998304||||||||||||||||||||||
2021-04-27|12015912|7214534||||||||||||||||||||||
2021-04-28|12150377|7411095||||||||||||||||||||||
2021-04-29|12306755|7583443||||||||||||||||||||||
2021-04-30|12422253|7646284||||||||||||||||||||||
2021-05-01|12457164|7678485||||||||||||||||||||||
2021-05-02|12469406|7703110||||||||||||||||||||||
2021-05-03|12572111|7850407||||||||||||||||||||||
2021-05-04|12699568|8002236||||||||||||||||||||||
2021-05-05|12851885|8166067||||||||||||||||||||||
2021-05-06|13028699|8339055||||||||||||||||||||||
2021-05-07|13180814|8486054||||||||||||||||||||||
2021-05-08|13321503|8612158||||||||||||||||||||||
2021-05-09|13349469|8643830||||||||||||||||||||||
2021-05-10|13513606|8804961||||||||||||||||||||||
2021-05-11|13647777|8888529||||||||||||||||||||||
2021-05-12|13691877|8918784||||||||||||||||||||||
2021-05-13|13697256|8919949||||||||||||||||||||||
2021-05-14|13700389|8921978||||||||||||||||||||||
2021-05-15|13725144|8960076||||||||||||||||||||||
2021-05-16|13745160|8975937||||||||||||||||||||||
2021-05-17|13828102|9093965||||||||||||||||||||||
2021-05-18|13985952|9276187||||||||||||||||||||||
2021-05-19|14197224|9428223||||||||||||||||||||||
2021-05-20|14452878|9580546||||||||||||||||||||||
